starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 02:45:41 2021	1638134141	64	2	65	1
Mon Nov 29 02:45:41 2021	1638134141	64	2	66	2
Mon Nov 29 02:45:41 2021	1638134141	64	3	67	3
Mon Nov 29 02:45:41 2021	1638134141	57	17	73	16
Mon Nov 29 02:45:41 2021	1638134141	74	4	77	4
Mon Nov 29 02:45:41 2021	1638134141	80	1	82	1
Mon Nov 29 02:45:41 2021	1638134141	81	1	82	1
Mon Nov 29 02:45:41 2021	1638134141	77	8	85	8
Mon Nov 29 02:45:41 2021	1638134141	82	4	86	4
Mon Nov 29 02:45:41 2021	1638134141	91	2	93	2
Mon Nov 29 02:45:42 2021	1638134142	89	5	94	4
Mon Nov 29 02:45:42 2021	1638134142	92	5	97	4
Mon Nov 29 02:45:42 2021	1638134142	99	1	100	1
Mon Nov 29 02:45:41 2021	1638134141	59	44	103	41
Mon Nov 29 02:45:41 2021	1638134141	101	3	104	3
Mon Nov 29 02:45:41 2021	1638134141	105	2	107	2
Mon Nov 29 02:45:41 2021	1638134141	109	1	110	1
Mon Nov 29 02:45:41 2021	1638134141	76	35	111	35
Mon Nov 29 02:45:41 2021	1638134141	110	2	112	2
Mon Nov 29 02:45:41 2021	1638134141	110	2	112	2
Mon Nov 29 02:45:41 2021	1638134141	110	2	112	2
Mon Nov 29 02:45:41 2021	1638134141	113	1	114	1
Mon Nov 29 02:45:42 2021	1638134142	111	2	114	2
Mon Nov 29 02:45:42 2021	1638134142	114	5	119	5
Mon Nov 29 02:45:42 2021	1638134142	118	3	121	3
Mon Nov 29 02:45:42 2021	1638134142	118	4	123	4
Mon Nov 29 02:45:42 2021	1638134142	116	8	124	8
Mon Nov 29 02:45:41 2021	1638134141	124	2	126	2
Mon Nov 29 02:45:41 2021	1638134141	126	2	128	1
Mon Nov 29 02:45:41 2021	1638134141	72	57	129	47
Mon Nov 29 02:45:41 2021	1638134141	127	5	132	5
Mon Nov 29 02:45:42 2021	1638134142	127	7	134	7
Mon Nov 29 02:45:42 2021	1638134142	132	2	135	2
Mon Nov 29 02:45:41 2021	1638134141	132	4	136	4
