starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 01:50:17 2021	1638130817	61	7	68	6
Mon Nov 29 01:50:18 2021	1638130818	68	1	69	0
Mon Nov 29 01:50:18 2021	1638130818	69	1	69	1
Mon Nov 29 01:50:18 2021	1638130818	69	1	70	1
Mon Nov 29 01:50:18 2021	1638130818	73	2	75	1
Mon Nov 29 01:50:18 2021	1638130818	74	1	75	1
Mon Nov 29 01:50:18 2021	1638130818	60	19	78	18
Mon Nov 29 01:50:18 2021	1638130818	78	1	79	1
Mon Nov 29 01:50:18 2021	1638130818	79	1	79	1
Mon Nov 29 01:50:18 2021	1638130818	63	18	81	17
Mon Nov 29 01:50:18 2021	1638130818	82	1	82	1
Mon Nov 29 01:50:18 2021	1638130818	87	1	88	1
Mon Nov 29 01:50:18 2021	1638130818	92	2	94	2
Mon Nov 29 01:50:18 2021	1638130818	92	2	94	2
Mon Nov 29 01:50:18 2021	1638130818	72	23	94	19
Mon Nov 29 01:50:18 2021	1638130818	100	1	101	1
Mon Nov 29 01:50:18 2021	1638130818	100	1	102	1
Mon Nov 29 01:50:18 2021	1638130818	107	2	108	1
Mon Nov 29 01:50:18 2021	1638130818	107	1	109	1
Mon Nov 29 01:50:18 2021	1638130818	107	2	109	1
Mon Nov 29 01:50:18 2021	1638130818	122	2	124	2
Mon Nov 29 01:50:18 2021	1638130818	125	3	128	3
Mon Nov 29 01:50:17 2021	1638130817	122	11	133	11
Mon Nov 29 01:50:17 2021	1638130817	135	1	136	1
Mon Nov 29 01:50:18 2021	1638130818	99	40	138	38
Mon Nov 29 01:50:17 2021	1638130817	136	11	147	11
Mon Nov 29 01:50:17 2021	1638130817	148	1	149	1
Mon Nov 29 01:50:18 2021	1638130818	114	44	158	42
Mon Nov 29 01:50:17 2021	1638130817	160	2	161	2
Mon Nov 29 01:50:17 2021	1638130817	161	1	162	1
Mon Nov 29 01:50:17 2021	1638130817	152	11	163	11
Mon Nov 29 01:50:17 2021	1638130817	165	1	166	1
Mon Nov 29 01:50:17 2021	1638130817	167	2	168	2
Mon Nov 29 01:50:17 2021	1638130817	169	1	170	1
Mon Nov 29 01:50:17 2021	1638130817	170	1	171	1
Mon Nov 29 01:50:17 2021	1638130817	173	1	174	1
