starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 01:44:04 2021	1638130444	20	3	22	2
Mon Nov 29 01:44:05 2021	1638130445	20	2	22	2
Mon Nov 29 01:44:04 2021	1638130444	29	1	31	1
Mon Nov 29 01:44:05 2021	1638130445	30	1	31	1
Mon Nov 29 01:44:05 2021	1638130445	30	1	31	1
Mon Nov 29 01:44:04 2021	1638130444	31	1	32	1
Mon Nov 29 01:44:04 2021	1638130444	30	2	33	2
Mon Nov 29 01:44:04 2021	1638130444	27	6	33	6
Mon Nov 29 01:44:04 2021	1638130444	33	1	34	1
Mon Nov 29 01:44:04 2021	1638130444	34	2	35	1
Mon Nov 29 01:44:05 2021	1638130445	35	1	36	1
Mon Nov 29 01:44:04 2021	1638130444	35	1	36	1
Mon Nov 29 01:44:04 2021	1638130444	33	3	36	3
Mon Nov 29 01:44:04 2021	1638130444	23	14	36	13
Mon Nov 29 01:44:04 2021	1638130444	17	20	37	19
Mon Nov 29 01:44:04 2021	1638130444	36	1	37	1
Mon Nov 29 01:44:04 2021	1638130444	26	12	38	12
Mon Nov 29 01:44:04 2021	1638130444	37	1	38	1
Mon Nov 29 01:44:04 2021	1638130444	38	1	39	1
Mon Nov 29 01:44:04 2021	1638130444	38	1	39	1
Mon Nov 29 01:44:04 2021	1638130444	22	18	41	17
Mon Nov 29 01:44:04 2021	1638130444	39	2	41	2
Mon Nov 29 01:44:04 2021	1638130444	40	1	41	1
Mon Nov 29 01:44:04 2021	1638130444	22	20	42	14
Mon Nov 29 01:44:04 2021	1638130444	42	1	43	1
Mon Nov 29 01:44:04 2021	1638130444	31	13	44	12
Mon Nov 29 01:44:04 2021	1638130444	24	20	44	19
Mon Nov 29 01:44:04 2021	1638130444	28	16	44	16
Mon Nov 29 01:44:04 2021	1638130444	22	23	45	23
Mon Nov 29 01:44:04 2021	1638130444	27	18	45	17
Mon Nov 29 01:44:04 2021	1638130444	27	18	45	18
Mon Nov 29 01:44:05 2021	1638130445	42	3	45	2
Mon Nov 29 01:44:04 2021	1638130444	45	1	46	1
Mon Nov 29 01:44:04 2021	1638130444	30	16	46	16
Mon Nov 29 01:44:04 2021	1638130444	45	1	46	1
Mon Nov 29 01:44:04 2021	1638130444	37	9	47	9
Mon Nov 29 01:44:04 2021	1638130444	25	22	47	21
Mon Nov 29 01:44:04 2021	1638130444	32	16	48	15
Mon Nov 29 01:44:04 2021	1638130444	46	2	48	2
Mon Nov 29 01:44:04 2021	1638130444	47	1	48	1
Mon Nov 29 01:44:05 2021	1638130445	47	1	48	1
Mon Nov 29 01:44:05 2021	1638130445	42	7	49	7
Mon Nov 29 01:44:04 2021	1638130444	32	17	49	16
Mon Nov 29 01:44:04 2021	1638130444	34	15	49	15
Mon Nov 29 01:44:04 2021	1638130444	30	20	50	16
Mon Nov 29 01:44:04 2021	1638130444	27	23	50	22
Mon Nov 29 01:44:04 2021	1638130444	31	19	50	17
Mon Nov 29 01:44:04 2021	1638130444	25	25	50	25
Mon Nov 29 01:44:04 2021	1638130444	28	22	50	22
Mon Nov 29 01:44:04 2021	1638130444	32	19	51	18
Mon Nov 29 01:44:04 2021	1638130444	50	1	51	1
Mon Nov 29 01:44:04 2021	1638130444	27	24	51	22
Mon Nov 29 01:44:04 2021	1638130444	37	15	52	13
Mon Nov 29 01:44:04 2021	1638130444	37	15	52	13
Mon Nov 29 01:44:04 2021	1638130444	31	24	55	24
Mon Nov 29 01:44:04 2021	1638130444	23	34	57	26
Mon Nov 29 01:44:04 2021	1638130444	24	34	58	33
Mon Nov 29 01:44:04 2021	1638130444	28	30	58	29
Mon Nov 29 01:44:04 2021	1638130444	57	1	58	1
Mon Nov 29 01:44:04 2021	1638130444	60	1	61	1
Mon Nov 29 01:44:04 2021	1638130444	60	1	61	1
Mon Nov 29 01:44:04 2021	1638130444	61	1	63	1
Mon Nov 29 01:44:04 2021	1638130444	38	25	63	25
Mon Nov 29 01:44:04 2021	1638130444	41	22	63	22
Mon Nov 29 01:44:04 2021	1638130444	34	29	63	29
Mon Nov 29 01:44:04 2021	1638130444	64	2	66	1
Mon Nov 29 01:44:04 2021	1638130444	64	2	66	2
Mon Nov 29 01:44:04 2021	1638130444	43	23	66	23
Mon Nov 29 01:44:04 2021	1638130444	64	4	68	4
Mon Nov 29 01:44:04 2021	1638130444	51	17	68	11
Mon Nov 29 01:44:04 2021	1638130444	43	26	69	26
Mon Nov 29 01:44:04 2021	1638130444	52	17	69	17
Mon Nov 29 01:44:04 2021	1638130444	39	31	70	31
Mon Nov 29 01:44:04 2021	1638130444	42	28	70	28
Mon Nov 29 01:44:04 2021	1638130444	44	27	71	26
Mon Nov 29 01:44:04 2021	1638130444	66	8	74	8
Mon Nov 29 01:44:04 2021	1638130444	59	18	78	18
Mon Nov 29 01:44:04 2021	1638130444	84	2	86	2
Mon Nov 29 01:44:04 2021	1638130444	54	35	89	32
Mon Nov 29 01:44:04 2021	1638130444	51	39	90	37
Mon Nov 29 01:44:04 2021	1638130444	67	22	90	22
Mon Nov 29 01:44:04 2021	1638130444	51	40	91	40
Mon Nov 29 01:44:04 2021	1638130444	47	46	92	43
Mon Nov 29 01:44:04 2021	1638130444	41	52	93	52
Mon Nov 29 01:44:04 2021	1638130444	93	2	95	2
Mon Nov 29 01:44:04 2021	1638130444	71	25	95	25
Mon Nov 29 01:44:04 2021	1638130444	89	10	98	9
Mon Nov 29 01:44:04 2021	1638130444	63	36	99	34
Mon Nov 29 01:44:04 2021	1638130444	88	13	101	13
Mon Nov 29 01:44:04 2021	1638130444	51	52	102	40
Mon Nov 29 01:44:04 2021	1638130444	104	1	105	1
Mon Nov 29 01:44:04 2021	1638130444	65	45	110	45
Mon Nov 29 01:44:04 2021	1638130444	91	24	115	16
Mon Nov 29 01:44:04 2021	1638130444	56	60	116	55
