starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 01:50:17 2021	1638130817	48	2	49	2
Mon Nov 29 01:50:17 2021	1638130817	56	1	57	0
Mon Nov 29 01:50:17 2021	1638130817	56	1	57	1
Mon Nov 29 01:50:17 2021	1638130817	56	1	57	0
Mon Nov 29 01:50:17 2021	1638130817	57	1	57	0
Mon Nov 29 01:50:17 2021	1638130817	59	1	60	1
Mon Nov 29 01:50:17 2021	1638130817	55	14	69	14
Mon Nov 29 01:50:17 2021	1638130817	69	1	70	1
Mon Nov 29 01:50:17 2021	1638130817	69	1	70	1
Mon Nov 29 01:50:17 2021	1638130817	67	3	70	3
Mon Nov 29 01:50:17 2021	1638130817	68	4	71	3
Mon Nov 29 01:50:17 2021	1638130817	70	2	72	2
Mon Nov 29 01:50:17 2021	1638130817	55	21	75	21
Mon Nov 29 01:50:17 2021	1638130817	54	22	76	22
Mon Nov 29 01:50:17 2021	1638130817	83	1	84	1
Mon Nov 29 01:50:17 2021	1638130817	84	1	85	1
Mon Nov 29 01:50:17 2021	1638130817	84	1	85	1
Mon Nov 29 01:50:17 2021	1638130817	84	1	85	1
Mon Nov 29 01:50:17 2021	1638130817	84	3	87	2
Mon Nov 29 01:50:17 2021	1638130817	84	2	87	1
Mon Nov 29 01:50:17 2021	1638130817	84	4	88	4
Mon Nov 29 01:50:17 2021	1638130817	84	4	88	4
Mon Nov 29 01:50:17 2021	1638130817	53	39	92	38
Mon Nov 29 01:50:17 2021	1638130817	54	38	92	38
Mon Nov 29 01:50:17 2021	1638130817	54	38	92	38
Mon Nov 29 01:50:17 2021	1638130817	97	1	97	1
Mon Nov 29 01:50:17 2021	1638130817	97	1	98	1
Mon Nov 29 01:50:17 2021	1638130817	97	1	99	1
Mon Nov 29 01:50:17 2021	1638130817	97	2	99	2
Mon Nov 29 01:50:17 2021	1638130817	49	56	106	56
Mon Nov 29 01:50:17 2021	1638130817	104	1	106	1
Mon Nov 29 01:50:17 2021	1638130817	51	55	106	55
Mon Nov 29 01:50:17 2021	1638130817	103	4	107	4
Mon Nov 29 01:50:17 2021	1638130817	105	3	108	3
Mon Nov 29 01:50:17 2021	1638130817	105	3	108	3
Mon Nov 29 01:50:17 2021	1638130817	107	1	109	1
Mon Nov 29 01:50:17 2021	1638130817	108	2	110	2
Mon Nov 29 01:50:17 2021	1638130817	108	2	111	2
Mon Nov 29 01:50:17 2021	1638130817	108	3	112	3
Mon Nov 29 01:50:17 2021	1638130817	110	2	112	2
Mon Nov 29 01:50:17 2021	1638130817	53	62	115	38
Mon Nov 29 01:50:17 2021	1638130817	53	62	115	62
Mon Nov 29 01:50:17 2021	1638130817	53	62	115	61
Mon Nov 29 01:50:17 2021	1638130817	53	62	115	62
Mon Nov 29 01:50:17 2021	1638130817	51	65	116	65
Mon Nov 29 01:50:17 2021	1638130817	120	1	122	1
Mon Nov 29 01:50:17 2021	1638130817	120	3	122	3
Mon Nov 29 01:50:17 2021	1638130817	120	4	123	4
Mon Nov 29 01:50:17 2021	1638130817	121	3	124	3
Mon Nov 29 01:50:17 2021	1638130817	123	2	125	2
Mon Nov 29 01:50:17 2021	1638130817	123	2	125	2
Mon Nov 29 01:50:17 2021	1638130817	123	3	126	3
Mon Nov 29 01:50:17 2021	1638130817	52	74	127	74
Mon Nov 29 01:50:17 2021	1638130817	53	73	127	73
Mon Nov 29 01:50:17 2021	1638130817	54	73	127	73
Mon Nov 29 01:50:17 2021	1638130817	131	5	135	5
Mon Nov 29 01:50:17 2021	1638130817	133	3	136	3
Mon Nov 29 01:50:17 2021	1638130817	133	3	136	3
Mon Nov 29 01:50:17 2021	1638130817	133	3	136	3
Mon Nov 29 01:50:17 2021	1638130817	133	4	136	4
Mon Nov 29 01:50:17 2021	1638130817	134	3	137	3
Mon Nov 29 01:50:17 2021	1638130817	134	3	137	3
Mon Nov 29 01:50:17 2021	1638130817	133	5	137	5
Mon Nov 29 01:50:17 2021	1638130817	55	86	141	73
Mon Nov 29 01:50:17 2021	1638130817	56	85	141	85
Mon Nov 29 01:50:17 2021	1638130817	136	5	141	3
Mon Nov 29 01:50:17 2021	1638130817	136	5	142	5
Mon Nov 29 01:50:17 2021	1638130817	57	85	142	85
Mon Nov 29 01:50:17 2021	1638130817	58	84	142	84
Mon Nov 29 01:50:17 2021	1638130817	143	1	144	1
Mon Nov 29 01:50:17 2021	1638130817	59	85	144	85
Mon Nov 29 01:50:17 2021	1638130817	143	2	144	2
Mon Nov 29 01:50:17 2021	1638130817	143	2	145	2
Mon Nov 29 01:50:17 2021	1638130817	143	3	146	3
Mon Nov 29 01:50:17 2021	1638130817	143	3	146	3
Mon Nov 29 01:50:17 2021	1638130817	144	2	147	2
Mon Nov 29 01:50:17 2021	1638130817	146	1	147	1
Mon Nov 29 01:50:17 2021	1638130817	147	3	150	3
Mon Nov 29 01:50:17 2021	1638130817	108	43	151	43
Mon Nov 29 01:50:17 2021	1638130817	109	42	152	42
Mon Nov 29 01:50:17 2021	1638130817	123	33	155	33
Mon Nov 29 01:50:17 2021	1638130817	123	32	155	32
Mon Nov 29 01:50:17 2021	1638130817	124	33	156	33
Mon Nov 29 01:50:17 2021	1638130817	109	48	158	48
Mon Nov 29 01:50:17 2021	1638130817	159	1	160	1
Mon Nov 29 01:50:17 2021	1638130817	160	1	161	1
Mon Nov 29 01:50:17 2021	1638130817	161	2	163	2
Mon Nov 29 01:50:17 2021	1638130817	144	24	169	24
Mon Nov 29 01:50:17 2021	1638130817	121	48	169	43
Mon Nov 29 01:50:17 2021	1638130817	143	26	169	26
Mon Nov 29 01:50:17 2021	1638130817	145	25	171	24
Mon Nov 29 01:50:17 2021	1638130817	146	25	172	24
Mon Nov 29 01:50:17 2021	1638130817	122	50	172	50
Mon Nov 29 01:50:17 2021	1638130817	123	57	180	57
Mon Nov 29 01:50:17 2021	1638130817	109	70	180	49
Mon Nov 29 01:50:17 2021	1638130817	146	44	189	44
Mon Nov 29 01:50:17 2021	1638130817	121	76	197	56
Mon Nov 29 01:50:17 2021	1638130817	121	76	197	76
Mon Nov 29 01:50:17 2021	1638130817	121	76	197	76
Mon Nov 29 01:50:17 2021	1638130817	121	76	197	76
