starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 02:46:31 2021	1638134191	37	17	54	14
Mon Nov 29 02:46:31 2021	1638134191	97	5	102	5
Mon Nov 29 02:46:31 2021	1638134191	97	5	102	5
Mon Nov 29 02:46:31 2021	1638134191	102	14	115	12
Mon Nov 29 02:46:31 2021	1638134191	101	14	115	14
Mon Nov 29 02:46:31 2021	1638134191	101	15	116	14
Mon Nov 29 02:46:31 2021	1638134191	101	20	121	18
Mon Nov 29 02:46:31 2021	1638134191	101	20	121	18
Mon Nov 29 02:46:31 2021	1638134191	101	21	122	17
Mon Nov 29 02:46:31 2021	1638134191	101	21	122	20
Mon Nov 29 02:46:31 2021	1638134191	101	21	122	21
Mon Nov 29 02:46:31 2021	1638134191	101	22	123	21
Mon Nov 29 02:46:31 2021	1638134191	101	22	123	21
Mon Nov 29 02:46:32 2021	1638134192	121	1	123	1
Mon Nov 29 02:46:31 2021	1638134191	101	22	123	21
Mon Nov 29 02:46:31 2021	1638134191	101	22	123	22
Mon Nov 29 02:46:32 2021	1638134192	123	2	125	2
Mon Nov 29 02:46:32 2021	1638134192	123	2	125	2
Mon Nov 29 02:46:32 2021	1638134192	125	1	126	1
Mon Nov 29 02:46:32 2021	1638134192	126	1	128	1
Mon Nov 29 02:46:32 2021	1638134192	128	1	129	1
Mon Nov 29 02:46:31 2021	1638134191	125	5	131	5
Mon Nov 29 02:46:31 2021	1638134191	125	7	132	7
Mon Nov 29 02:46:32 2021	1638134192	133	4	136	3
Mon Nov 29 02:46:32 2021	1638134192	141	4	145	4
Mon Nov 29 02:46:32 2021	1638134192	146	2	148	2
Mon Nov 29 02:46:31 2021	1638134191	67	88	155	88
Mon Nov 29 02:46:32 2021	1638134192	162	5	167	5
Mon Nov 29 02:46:32 2021	1638134192	162	5	167	5
Mon Nov 29 02:46:32 2021	1638134192	162	5	167	5
Mon Nov 29 02:46:32 2021	1638134192	162	5	168	5
Mon Nov 29 02:46:31 2021	1638134191	75	96	171	96
Mon Nov 29 02:46:31 2021	1638134191	75	96	171	96
Mon Nov 29 02:46:31 2021	1638134191	75	97	172	96
Mon Nov 29 02:46:32 2021	1638134192	182	3	184	2
Mon Nov 29 02:46:32 2021	1638134192	181	4	185	3
Mon Nov 29 02:46:32 2021	1638134192	109	77	186	76
Mon Nov 29 02:46:32 2021	1638134192	114	73	186	72
Mon Nov 29 02:46:32 2021	1638134192	181	5	186	3
Mon Nov 29 02:46:32 2021	1638134192	113	74	187	73
Mon Nov 29 02:46:32 2021	1638134192	182	6	188	6
Mon Nov 29 02:46:32 2021	1638134192	116	73	189	72
Mon Nov 29 02:46:32 2021	1638134192	182	7	189	6
Mon Nov 29 02:46:32 2021	1638134192	120	69	190	69
Mon Nov 29 02:46:32 2021	1638134192	120	72	192	70
Mon Nov 29 02:46:32 2021	1638134192	203	1	204	1
Mon Nov 29 02:46:32 2021	1638134192	202	4	206	4
Mon Nov 29 02:46:32 2021	1638134192	221	2	224	2
Mon Nov 29 02:46:32 2021	1638134192	221	3	225	3
Mon Nov 29 02:46:32 2021	1638134192	222	3	225	3
Mon Nov 29 02:46:32 2021	1638134192	158	75	233	75
Mon Nov 29 02:46:32 2021	1638134192	159	75	234	75
Mon Nov 29 02:46:32 2021	1638134192	158	77	235	76
Mon Nov 29 02:46:32 2021	1638134192	160	77	237	77
Mon Nov 29 02:46:32 2021	1638134192	241	4	245	3
Mon Nov 29 02:46:32 2021	1638134192	245	3	249	3
Mon Nov 29 02:46:32 2021	1638134192	249	1	250	1
Mon Nov 29 02:46:32 2021	1638134192	263	4	267	3
Mon Nov 29 02:46:31 2021	1638134191	259	17	276	17
Mon Nov 29 02:46:32 2021	1638134192	280	3	282	3
Mon Nov 29 02:46:32 2021	1638134192	280	5	285	5
Mon Nov 29 02:46:32 2021	1638134192	285	4	289	3
Mon Nov 29 02:46:31 2021	1638134191	299	2	301	2
Mon Nov 29 02:46:32 2021	1638134192	302	2	304	2
Mon Nov 29 02:46:31 2021	1638134191	305	2	306	2
Mon Nov 29 02:46:31 2021	1638134191	310	2	312	2
Mon Nov 29 02:46:31 2021	1638134191	310	4	314	4
Mon Nov 29 02:46:31 2021	1638134191	310	6	317	6
Mon Nov 29 02:46:31 2021	1638134191	319	1	321	1
Mon Nov 29 02:46:32 2021	1638134192	229	94	323	82
Mon Nov 29 02:46:31 2021	1638134191	320	3	323	3
Mon Nov 29 02:46:31 2021	1638134191	327	4	331	4
Mon Nov 29 02:46:32 2021	1638134192	339	2	340	2
Mon Nov 29 02:46:32 2021	1638134192	339	1	341	1
Mon Nov 29 02:46:32 2021	1638134192	341	2	343	2
Mon Nov 29 02:46:32 2021	1638134192	201	145	346	113
Mon Nov 29 02:46:31 2021	1638134191	347	2	349	2
Mon Nov 29 02:46:32 2021	1638134192	353	1	355	1
Mon Nov 29 02:46:31 2021	1638134191	349	6	355	6
Mon Nov 29 02:46:31 2021	1638134191	355	1	357	1
Mon Nov 29 02:46:31 2021	1638134191	354	3	357	3
Mon Nov 29 02:46:32 2021	1638134192	356	1	357	1
Mon Nov 29 02:46:31 2021	1638134191	355	3	359	3
Mon Nov 29 02:46:31 2021	1638134191	356	3	359	3
Mon Nov 29 02:46:31 2021	1638134191	355	7	362	7
Mon Nov 29 02:46:32 2021	1638134192	155	207	363	207
Mon Nov 29 02:46:31 2021	1638134191	260	106	366	106
Mon Nov 29 02:46:32 2021	1638134192	374	1	375	1
Mon Nov 29 02:46:32 2021	1638134192	375	1	376	1
Mon Nov 29 02:46:32 2021	1638134192	389	2	391	2
Mon Nov 29 02:46:32 2021	1638134192	390	2	392	1
Mon Nov 29 02:46:32 2021	1638134192	208	188	396	188
Mon Nov 29 02:46:32 2021	1638134192	208	207	416	207
Mon Nov 29 02:46:32 2021	1638134192	210	207	417	207
Mon Nov 29 02:46:32 2021	1638134192	330	112	442	111
Mon Nov 29 02:46:31 2021	1638134191	316	130	446	130
Mon Nov 29 02:46:31 2021	1638134191	317	130	447	130
Mon Nov 29 02:46:31 2021	1638134191	318	130	448	130
Mon Nov 29 02:46:32 2021	1638134192	331	126	456	126
Mon Nov 29 02:46:32 2021	1638134192	336	121	457	120
