starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 02:45:41 2021	1638134141	35	26	62	17
Mon Nov 29 02:45:43 2021	1638134143	115	2	117	2
Mon Nov 29 02:45:43 2021	1638134143	116	3	118	3
Mon Nov 29 02:45:43 2021	1638134143	121	2	123	2
Mon Nov 29 02:45:43 2021	1638134143	127	1	129	1
Mon Nov 29 02:45:43 2021	1638134143	132	1	134	1
Mon Nov 29 02:45:42 2021	1638134142	135	1	136	1
Mon Nov 29 02:45:43 2021	1638134143	72	66	138	59
Mon Nov 29 02:45:43 2021	1638134143	99	40	140	39
Mon Nov 29 02:45:42 2021	1638134142	147	1	148	1
Mon Nov 29 02:45:43 2021	1638134143	117	34	152	34
Mon Nov 29 02:45:42 2021	1638134142	153	2	154	1
Mon Nov 29 02:45:42 2021	1638134142	151	4	155	4
Mon Nov 29 02:45:42 2021	1638134142	154	2	155	2
Mon Nov 29 02:45:42 2021	1638134142	154	2	156	1
Mon Nov 29 02:45:42 2021	1638134142	154	2	157	2
Mon Nov 29 02:45:42 2021	1638134142	157	2	159	2
Mon Nov 29 02:45:42 2021	1638134142	156	3	159	2
Mon Nov 29 02:45:43 2021	1638134143	75	86	161	79
Mon Nov 29 02:45:43 2021	1638134143	117	44	162	37
Mon Nov 29 02:45:42 2021	1638134142	162	4	166	4
Mon Nov 29 02:45:42 2021	1638134142	165	2	167	2
Mon Nov 29 02:45:43 2021	1638134143	75	93	168	92
Mon Nov 29 02:45:42 2021	1638134142	166	3	169	3
Mon Nov 29 02:45:42 2021	1638134142	168	1	169	1
Mon Nov 29 02:45:42 2021	1638134142	169	4	173	4
Mon Nov 29 02:45:42 2021	1638134142	172	1	173	1
Mon Nov 29 02:45:43 2021	1638134143	169	5	174	5
Mon Nov 29 02:45:43 2021	1638134143	169	5	174	5
Mon Nov 29 02:45:42 2021	1638134142	177	2	179	2
Mon Nov 29 02:45:42 2021	1638134142	172	8	180	7
Mon Nov 29 02:45:43 2021	1638134143	133	48	181	48
Mon Nov 29 02:45:43 2021	1638134143	135	50	184	50
Mon Nov 29 02:45:43 2021	1638134143	78	108	186	108
Mon Nov 29 02:45:42 2021	1638134142	184	3	187	3
Mon Nov 29 02:45:42 2021	1638134142	185	2	187	2
Mon Nov 29 02:45:43 2021	1638134143	185	2	187	2
Mon Nov 29 02:45:43 2021	1638134143	86	101	187	101
Mon Nov 29 02:45:42 2021	1638134142	185	3	188	3
Mon Nov 29 02:45:41 2021	1638134141	179	9	188	9
Mon Nov 29 02:45:43 2021	1638134143	187	1	188	1
Mon Nov 29 02:45:42 2021	1638134142	186	4	190	4
Mon Nov 29 02:45:42 2021	1638134142	189	2	191	1
Mon Nov 29 02:45:43 2021	1638134143	189	3	192	3
Mon Nov 29 02:45:43 2021	1638134143	189	4	192	4
Mon Nov 29 02:45:42 2021	1638134142	192	2	194	1
Mon Nov 29 02:45:42 2021	1638134142	191	4	195	3
Mon Nov 29 02:45:42 2021	1638134142	194	2	196	2
Mon Nov 29 02:45:42 2021	1638134142	193	6	199	4
Mon Nov 29 02:45:42 2021	1638134142	195	4	199	4
Mon Nov 29 02:45:43 2021	1638134143	198	2	199	1
Mon Nov 29 02:45:42 2021	1638134142	197	4	201	4
Mon Nov 29 02:45:42 2021	1638134142	202	1	203	1
Mon Nov 29 02:45:42 2021	1638134142	201	3	205	3
Mon Nov 29 02:45:42 2021	1638134142	162	48	210	47
Mon Nov 29 02:45:41 2021	1638134141	208	3	212	3
Mon Nov 29 02:45:41 2021	1638134141	208	4	212	3
Mon Nov 29 02:45:41 2021	1638134141	208	4	212	3
Mon Nov 29 02:45:41 2021	1638134141	211	4	215	4
Mon Nov 29 02:45:41 2021	1638134141	211	5	216	4
Mon Nov 29 02:45:42 2021	1638134142	118	103	221	103
Mon Nov 29 02:45:41 2021	1638134141	222	2	223	2
Mon Nov 29 02:45:41 2021	1638134141	220	3	223	3
Mon Nov 29 02:45:41 2021	1638134141	223	3	226	3
Mon Nov 29 02:45:41 2021	1638134141	223	3	227	3
