starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 11:11:11 2021	1638164471	34	2	37	2
Mon Nov 29 11:11:11 2021	1638164471	36	1	38	1
Mon Nov 29 11:11:10 2021	1638164470	36	3	39	3
Mon Nov 29 11:11:10 2021	1638164470	39	1	40	1
Mon Nov 29 11:11:11 2021	1638164471	42	2	45	2
Mon Nov 29 11:11:11 2021	1638164471	44	1	45	1
Mon Nov 29 11:11:12 2021	1638164472	44	2	46	2
Mon Nov 29 11:11:10 2021	1638164470	45	2	47	2
Mon Nov 29 11:11:11 2021	1638164471	45	2	47	2
Mon Nov 29 11:11:12 2021	1638164472	45	2	47	2
Mon Nov 29 11:11:11 2021	1638164471	42	6	48	6
Mon Nov 29 11:11:11 2021	1638164471	42	6	48	6
Mon Nov 29 11:11:11 2021	1638164471	42	6	48	6
Mon Nov 29 11:11:11 2021	1638164471	48	1	49	1
Mon Nov 29 11:11:11 2021	1638164471	49	1	49	1
Mon Nov 29 11:11:10 2021	1638164470	49	1	50	1
Mon Nov 29 11:11:12 2021	1638164472	50	1	51	1
Mon Nov 29 11:11:12 2021	1638164472	50	2	51	2
Mon Nov 29 11:11:13 2021	1638164473	51	1	52	1
Mon Nov 29 11:11:10 2021	1638164470	51	1	52	1
Mon Nov 29 11:11:12 2021	1638164472	50	2	52	2
Mon Nov 29 11:11:12 2021	1638164472	51	2	53	1
Mon Nov 29 11:11:12 2021	1638164472	52	1	53	1
Mon Nov 29 11:11:11 2021	1638164471	52	1	53	1
Mon Nov 29 11:11:10 2021	1638164470	52	1	53	1
Mon Nov 29 11:11:10 2021	1638164470	52	2	54	2
Mon Nov 29 11:11:11 2021	1638164471	51	4	55	4
Mon Nov 29 11:11:10 2021	1638164470	54	1	55	1
Mon Nov 29 11:11:11 2021	1638164471	53	1	55	1
Mon Nov 29 11:11:10 2021	1638164470	55	1	55	0
Mon Nov 29 11:11:11 2021	1638164471	54	1	55	1
Mon Nov 29 11:11:11 2021	1638164471	51	4	55	4
Mon Nov 29 11:11:12 2021	1638164472	55	1	56	1
Mon Nov 29 11:11:12 2021	1638164472	54	2	56	1
Mon Nov 29 11:11:12 2021	1638164472	54	2	56	2
Mon Nov 29 11:11:12 2021	1638164472	56	1	56	1
Mon Nov 29 11:11:11 2021	1638164471	55	2	57	2
Mon Nov 29 11:11:11 2021	1638164471	55	2	57	2
Mon Nov 29 11:11:13 2021	1638164473	56	1	57	1
Mon Nov 29 11:11:13 2021	1638164473	56	1	57	1
Mon Nov 29 11:11:12 2021	1638164472	56	2	57	2
Mon Nov 29 11:11:11 2021	1638164471	56	1	57	1
Mon Nov 29 11:11:11 2021	1638164471	48	9	58	9
Mon Nov 29 11:11:12 2021	1638164472	57	1	58	1
Mon Nov 29 11:11:11 2021	1638164471	55	3	58	3
Mon Nov 29 11:11:13 2021	1638164473	57	1	58	1
Mon Nov 29 11:11:12 2021	1638164472	56	3	59	3
Mon Nov 29 11:11:11 2021	1638164471	58	1	59	1
Mon Nov 29 11:11:11 2021	1638164471	58	1	59	1
Mon Nov 29 11:11:13 2021	1638164473	58	1	59	1
Mon Nov 29 11:11:12 2021	1638164472	58	1	59	1
Mon Nov 29 11:11:12 2021	1638164472	58	1	59	1
Mon Nov 29 11:11:13 2021	1638164473	58	1	59	1
Mon Nov 29 11:11:10 2021	1638164470	57	2	59	2
Mon Nov 29 11:11:12 2021	1638164472	58	2	60	2
Mon Nov 29 11:11:12 2021	1638164472	58	2	60	2
Mon Nov 29 11:11:13 2021	1638164473	44	17	60	16
Mon Nov 29 11:11:13 2021	1638164473	59	1	60	1
Mon Nov 29 11:11:11 2021	1638164471	55	6	60	6
Mon Nov 29 11:11:12 2021	1638164472	60	1	61	1
Mon Nov 29 11:11:12 2021	1638164472	56	5	61	5
Mon Nov 29 11:11:13 2021	1638164473	60	1	61	1
Mon Nov 29 11:11:11 2021	1638164471	59	2	61	2
Mon Nov 29 11:11:12 2021	1638164472	61	1	61	1
Mon Nov 29 11:11:13 2021	1638164473	60	1	61	1
Mon Nov 29 11:11:13 2021	1638164473	61	1	62	1
Mon Nov 29 11:11:11 2021	1638164471	54	8	62	8
Mon Nov 29 11:11:11 2021	1638164471	59	2	62	2
Mon Nov 29 11:11:12 2021	1638164472	61	1	62	1
Mon Nov 29 11:11:13 2021	1638164473	61	1	62	1
Mon Nov 29 11:11:11 2021	1638164471	52	10	62	10
Mon Nov 29 11:11:10 2021	1638164470	62	1	62	0
Mon Nov 29 11:11:12 2021	1638164472	61	2	62	1
Mon Nov 29 11:11:13 2021	1638164473	61	2	62	1
Mon Nov 29 11:11:11 2021	1638164471	61	2	63	1
Mon Nov 29 11:11:11 2021	1638164471	60	3	63	2
Mon Nov 29 11:11:11 2021	1638164471	62	1	63	1
Mon Nov 29 11:11:13 2021	1638164473	61	2	63	1
Mon Nov 29 11:11:13 2021	1638164473	61	2	63	2
Mon Nov 29 11:11:13 2021	1638164473	62	2	63	2
Mon Nov 29 11:11:10 2021	1638164470	62	1	63	1
Mon Nov 29 11:11:12 2021	1638164472	57	7	64	6
Mon Nov 29 11:11:12 2021	1638164472	61	3	64	3
Mon Nov 29 11:11:11 2021	1638164471	63	1	64	1
Mon Nov 29 11:11:13 2021	1638164473	63	2	64	1
Mon Nov 29 11:11:11 2021	1638164471	63	1	64	1
Mon Nov 29 11:11:11 2021	1638164471	62	2	64	2
Mon Nov 29 11:11:13 2021	1638164473	63	1	64	1
Mon Nov 29 11:11:11 2021	1638164471	63	1	65	1
Mon Nov 29 11:11:13 2021	1638164473	63	1	65	1
Mon Nov 29 11:11:11 2021	1638164471	59	5	65	5
Mon Nov 29 11:11:11 2021	1638164471	64	1	65	1
Mon Nov 29 11:11:12 2021	1638164472	63	2	65	1
Mon Nov 29 11:11:12 2021	1638164472	61	4	65	4
Mon Nov 29 11:11:12 2021	1638164472	64	1	65	1
Mon Nov 29 11:11:12 2021	1638164472	64	1	65	1
Mon Nov 29 11:11:13 2021	1638164473	65	1	66	1
Mon Nov 29 11:11:12 2021	1638164472	65	1	66	1
Mon Nov 29 11:11:13 2021	1638164473	64	2	66	2
Mon Nov 29 11:11:11 2021	1638164471	65	1	66	1
Mon Nov 29 11:11:13 2021	1638164473	65	1	66	1
Mon Nov 29 11:11:11 2021	1638164471	65	1	66	1
Mon Nov 29 11:11:12 2021	1638164472	62	4	67	3
Mon Nov 29 11:11:11 2021	1638164471	65	2	67	1
Mon Nov 29 11:11:12 2021	1638164472	61	6	67	6
Mon Nov 29 11:11:11 2021	1638164471	64	3	67	3
Mon Nov 29 11:11:11 2021	1638164471	64	3	67	2
Mon Nov 29 11:11:12 2021	1638164472	66	1	67	1
Mon Nov 29 11:11:11 2021	1638164471	65	2	67	2
Mon Nov 29 11:11:11 2021	1638164471	57	10	67	10
Mon Nov 29 11:11:13 2021	1638164473	67	1	68	1
Mon Nov 29 11:11:11 2021	1638164471	37	31	68	31
Mon Nov 29 11:11:11 2021	1638164471	67	1	68	1
