starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 08:00:29 2021	1638153029	45	1	46	0
Mon Nov 29 08:00:29 2021	1638153029	45	1	46	1
Mon Nov 29 08:00:29 2021	1638153029	49	5	54	5
Mon Nov 29 08:00:29 2021	1638153029	55	1	56	0
Mon Nov 29 08:00:29 2021	1638153029	55	1	56	1
Mon Nov 29 08:00:29 2021	1638153029	56	1	57	1
Mon Nov 29 08:00:29 2021	1638153029	56	1	57	0
Mon Nov 29 08:00:29 2021	1638153029	49	23	72	23
Mon Nov 29 08:00:29 2021	1638153029	60	24	84	18
Mon Nov 29 08:00:29 2021	1638153029	96	1	97	0
Mon Nov 29 08:00:29 2021	1638153029	45	51	97	50
Mon Nov 29 08:00:29 2021	1638153029	46	51	97	51
Mon Nov 29 08:00:29 2021	1638153029	94	3	97	1
Mon Nov 29 08:00:33 2021	1638153033	88	18	106	18
Mon Nov 29 08:00:32 2021	1638153032	110	1	111	1
Mon Nov 29 08:00:32 2021	1638153032	111	1	112	1
Mon Nov 29 08:00:29 2021	1638153029	119	1	120	1
Mon Nov 29 08:00:29 2021	1638153029	119	6	125	1
Mon Nov 29 08:00:32 2021	1638153032	124	1	125	1
Mon Nov 29 08:00:32 2021	1638153032	123	2	125	2
Mon Nov 29 08:00:32 2021	1638153032	124	2	126	2
Mon Nov 29 08:00:32 2021	1638153032	125	1	126	1
Mon Nov 29 08:00:33 2021	1638153033	127	1	128	1
Mon Nov 29 08:00:33 2021	1638153033	128	1	129	1
Mon Nov 29 08:00:31 2021	1638153031	117	12	129	12
Mon Nov 29 08:00:33 2021	1638153033	129	1	130	1
Mon Nov 29 08:00:33 2021	1638153033	125	6	131	6
Mon Nov 29 08:00:29 2021	1638153029	133	1	133	1
Mon Nov 29 08:00:29 2021	1638153029	134	1	134	0
Mon Nov 29 08:00:29 2021	1638153029	80	54	134	54
Mon Nov 29 08:00:31 2021	1638153031	134	1	135	1
Mon Nov 29 08:00:33 2021	1638153033	117	18	135	18
Mon Nov 29 08:00:33 2021	1638153033	133	2	136	2
Mon Nov 29 08:00:33 2021	1638153033	134	2	136	2
Mon Nov 29 08:00:29 2021	1638153029	81	55	137	55
Mon Nov 29 08:00:29 2021	1638153029	138	1	138	0
Mon Nov 29 08:00:33 2021	1638153033	138	1	139	1
Mon Nov 29 08:00:29 2021	1638153029	80	60	140	60
Mon Nov 29 08:00:31 2021	1638153031	131	10	141	10
Mon Nov 29 08:00:33 2021	1638153033	139	2	141	2
Mon Nov 29 08:00:32 2021	1638153032	140	1	141	0
Mon Nov 29 08:00:29 2021	1638153029	138	4	142	4
Mon Nov 29 08:00:29 2021	1638153029	141	1	142	1
Mon Nov 29 08:00:29 2021	1638153029	141	1	143	1
Mon Nov 29 08:00:33 2021	1638153033	141	1	143	1
Mon Nov 29 08:00:29 2021	1638153029	88	55	143	55
Mon Nov 29 08:00:32 2021	1638153032	143	1	143	1
