starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 01:18:21 2021	1638128901	9	4	13	3
Mon Nov 29 01:18:21 2021	1638128901	15	1	16	0
Mon Nov 29 01:18:21 2021	1638128901	15	1	16	0
Mon Nov 29 01:18:21 2021	1638128901	15	1	17	1
Mon Nov 29 01:18:21 2021	1638128901	15	2	17	1
Mon Nov 29 01:18:21 2021	1638128901	15	2	17	2
Mon Nov 29 01:18:21 2021	1638128901	16	1	17	1
Mon Nov 29 01:18:21 2021	1638128901	17	1	17	0
Mon Nov 29 01:18:21 2021	1638128901	17	1	18	0
Mon Nov 29 01:18:21 2021	1638128901	17	1	18	1
Mon Nov 29 01:18:21 2021	1638128901	18	1	18	0
Mon Nov 29 01:18:21 2021	1638128901	17	1	18	1
Mon Nov 29 01:18:21 2021	1638128901	18	1	19	1
Mon Nov 29 01:18:21 2021	1638128901	18	1	19	1
Mon Nov 29 01:18:22 2021	1638128902	18	1	19	1
Mon Nov 29 01:18:21 2021	1638128901	17	3	19	3
Mon Nov 29 01:18:21 2021	1638128901	19	1	20	0
Mon Nov 29 01:18:21 2021	1638128901	19	1	20	1
Mon Nov 29 01:18:22 2021	1638128902	19	1	20	1
Mon Nov 29 01:18:21 2021	1638128901	19	1	20	0
Mon Nov 29 01:18:21 2021	1638128901	19	1	20	1
Mon Nov 29 01:18:21 2021	1638128901	19	1	20	1
Mon Nov 29 01:18:21 2021	1638128901	19	1	20	1
Mon Nov 29 01:18:22 2021	1638128902	19	1	20	0
Mon Nov 29 01:18:22 2021	1638128902	19	1	20	1
Mon Nov 29 01:18:22 2021	1638128902	19	1	20	1
Mon Nov 29 01:18:21 2021	1638128901	19	1	20	1
Mon Nov 29 01:18:21 2021	1638128901	20	1	20	0
Mon Nov 29 01:18:21 2021	1638128901	19	1	20	1
Mon Nov 29 01:18:21 2021	1638128901	20	1	20	0
Mon Nov 29 01:18:22 2021	1638128902	20	0	20	0
Mon Nov 29 01:18:22 2021	1638128902	20	1	20	0
Mon Nov 29 01:18:22 2021	1638128902	20	1	21	1
Mon Nov 29 01:18:21 2021	1638128901	20	1	21	0
Mon Nov 29 01:18:21 2021	1638128901	20	1	21	1
Mon Nov 29 01:18:21 2021	1638128901	20	1	21	1
Mon Nov 29 01:18:22 2021	1638128902	20	1	21	1
Mon Nov 29 01:18:22 2021	1638128902	20	1	21	0
Mon Nov 29 01:18:21 2021	1638128901	21	1	21	0
Mon Nov 29 01:18:22 2021	1638128902	20	1	21	1
Mon Nov 29 01:18:22 2021	1638128902	20	1	21	1
Mon Nov 29 01:18:22 2021	1638128902	21	1	21	1
Mon Nov 29 01:18:21 2021	1638128901	20	1	21	1
Mon Nov 29 01:18:22 2021	1638128902	21	1	21	0
Mon Nov 29 01:18:22 2021	1638128902	20	1	21	1
Mon Nov 29 01:18:21 2021	1638128901	21	1	21	0
Mon Nov 29 01:18:21 2021	1638128901	20	2	21	2
Mon Nov 29 01:18:22 2021	1638128902	21	1	21	1
Mon Nov 29 01:18:21 2021	1638128901	21	1	21	1
Mon Nov 29 01:18:21 2021	1638128901	21	1	21	1
Mon Nov 29 01:18:22 2021	1638128902	21	1	21	0
Mon Nov 29 01:18:22 2021	1638128902	21	1	21	0
Mon Nov 29 01:18:22 2021	1638128902	21	1	22	1
Mon Nov 29 01:18:21 2021	1638128901	21	1	22	1
Mon Nov 29 01:18:22 2021	1638128902	21	1	22	0
Mon Nov 29 01:18:21 2021	1638128901	18	4	22	4
Mon Nov 29 01:18:21 2021	1638128901	21	1	22	1
Mon Nov 29 01:18:21 2021	1638128901	21	1	22	1
Mon Nov 29 01:18:22 2021	1638128902	22	1	22	0
Mon Nov 29 01:18:21 2021	1638128901	22	1	22	1
Mon Nov 29 01:18:22 2021	1638128902	21	2	22	0
Mon Nov 29 01:18:22 2021	1638128902	22	0	22	0
Mon Nov 29 01:18:22 2021	1638128902	22	1	22	1
Mon Nov 29 01:18:22 2021	1638128902	21	1	23	1
Mon Nov 29 01:18:21 2021	1638128901	22	1	23	0
Mon Nov 29 01:18:21 2021	1638128901	22	1	23	0
Mon Nov 29 01:18:21 2021	1638128901	22	1	23	1
Mon Nov 29 01:18:21 2021	1638128901	22	1	23	1
Mon Nov 29 01:18:21 2021	1638128901	22	1	23	1
Mon Nov 29 01:18:21 2021	1638128901	22	1	23	0
Mon Nov 29 01:18:21 2021	1638128901	22	1	23	0
Mon Nov 29 01:18:21 2021	1638128901	22	1	23	1
Mon Nov 29 01:18:21 2021	1638128901	22	1	23	1
Mon Nov 29 01:18:21 2021	1638128901	22	1	23	1
Mon Nov 29 01:18:22 2021	1638128902	22	1	23	1
Mon Nov 29 01:18:21 2021	1638128901	22	1	23	1
Mon Nov 29 01:18:22 2021	1638128902	22	1	23	0
Mon Nov 29 01:18:21 2021	1638128901	22	1	23	1
Mon Nov 29 01:18:22 2021	1638128902	21	2	23	2
Mon Nov 29 01:18:21 2021	1638128901	20	3	23	3
Mon Nov 29 01:18:21 2021	1638128901	21	2	23	1
Mon Nov 29 01:18:22 2021	1638128902	23	1	23	0
Mon Nov 29 01:18:22 2021	1638128902	22	1	23	1
Mon Nov 29 01:18:22 2021	1638128902	22	1	23	1
Mon Nov 29 01:18:21 2021	1638128901	23	1	23	0
Mon Nov 29 01:18:21 2021	1638128901	23	1	23	0
Mon Nov 29 01:18:21 2021	1638128901	23	1	23	1
Mon Nov 29 01:18:21 2021	1638128901	23	1	23	0
Mon Nov 29 01:18:22 2021	1638128902	23	1	23	0
Mon Nov 29 01:18:22 2021	1638128902	22	2	23	1
Mon Nov 29 01:18:21 2021	1638128901	21	3	23	3
Mon Nov 29 01:18:21 2021	1638128901	23	1	24	0
Mon Nov 29 01:18:21 2021	1638128901	23	1	24	1
Mon Nov 29 01:18:21 2021	1638128901	23	1	24	0
Mon Nov 29 01:18:22 2021	1638128902	23	1	24	0
Mon Nov 29 01:18:21 2021	1638128901	22	2	24	2
Mon Nov 29 01:18:22 2021	1638128902	23	1	24	1
Mon Nov 29 01:18:21 2021	1638128901	23	1	24	1
Mon Nov 29 01:18:21 2021	1638128901	22	1	24	1
Mon Nov 29 01:18:21 2021	1638128901	23	1	24	1
Mon Nov 29 01:18:22 2021	1638128902	22	1	24	1
Mon Nov 29 01:18:22 2021	1638128902	23	1	24	0
Mon Nov 29 01:18:22 2021	1638128902	23	1	24	1
Mon Nov 29 01:18:21 2021	1638128901	23	1	24	0
Mon Nov 29 01:18:22 2021	1638128902	23	1	24	1
Mon Nov 29 01:18:21 2021	1638128901	23	2	24	1
Mon Nov 29 01:18:21 2021	1638128901	23	1	24	1
Mon Nov 29 01:18:22 2021	1638128902	23	1	24	1
Mon Nov 29 01:18:21 2021	1638128901	24	1	24	0
Mon Nov 29 01:18:22 2021	1638128902	23	1	24	1
Mon Nov 29 01:18:22 2021	1638128902	23	1	24	1
Mon Nov 29 01:18:22 2021	1638128902	24	1	24	1
Mon Nov 29 01:18:22 2021	1638128902	23	1	24	1
Mon Nov 29 01:18:21 2021	1638128901	24	1	24	1
Mon Nov 29 01:18:21 2021	1638128901	24	1	24	0
Mon Nov 29 01:18:21 2021	1638128901	24	1	25	1
Mon Nov 29 01:18:21 2021	1638128901	24	1	25	0
Mon Nov 29 01:18:21 2021	1638128901	24	1	25	1
Mon Nov 29 01:18:21 2021	1638128901	24	1	25	1
Mon Nov 29 01:18:22 2021	1638128902	24	1	25	1
Mon Nov 29 01:18:22 2021	1638128902	24	1	25	0
Mon Nov 29 01:18:22 2021	1638128902	24	1	25	1
Mon Nov 29 01:18:22 2021	1638128902	24	1	25	0
Mon Nov 29 01:18:21 2021	1638128901	24	1	25	0
Mon Nov 29 01:18:21 2021	1638128901	24	1	25	1
Mon Nov 29 01:18:21 2021	1638128901	24	1	25	1
Mon Nov 29 01:18:22 2021	1638128902	25	1	25	1
Mon Nov 29 01:18:21 2021	1638128901	25	0	25	0
Mon Nov 29 01:18:21 2021	1638128901	25	1	25	1
Mon Nov 29 01:18:21 2021	1638128901	23	2	26	2
Mon Nov 29 01:18:21 2021	1638128901	22	4	26	4
Mon Nov 29 01:18:21 2021	1638128901	25	1	26	0
Mon Nov 29 01:18:22 2021	1638128902	25	1	26	1
Mon Nov 29 01:18:21 2021	1638128901	25	1	26	1
Mon Nov 29 01:18:22 2021	1638128902	25	0	26	0
Mon Nov 29 01:18:21 2021	1638128901	25	1	26	1
Mon Nov 29 01:18:21 2021	1638128901	25	1	26	1
Mon Nov 29 01:18:21 2021	1638128901	25	2	26	1
Mon Nov 29 01:18:21 2021	1638128901	25	1	26	0
Mon Nov 29 01:18:21 2021	1638128901	25	1	26	1
Mon Nov 29 01:18:21 2021	1638128901	26	1	26	0
Mon Nov 29 01:18:22 2021	1638128902	25	1	26	1
Mon Nov 29 01:18:21 2021	1638128901	26	1	26	1
Mon Nov 29 01:18:21 2021	1638128901	25	1	26	1
Mon Nov 29 01:18:21 2021	1638128901	18	9	26	8
Mon Nov 29 01:18:21 2021	1638128901	26	1	27	1
Mon Nov 29 01:18:22 2021	1638128902	25	1	27	1
Mon Nov 29 01:18:21 2021	1638128901	25	1	27	1
Mon Nov 29 01:18:22 2021	1638128902	25	2	27	2
Mon Nov 29 01:18:22 2021	1638128902	25	2	27	2
Mon Nov 29 01:18:22 2021	1638128902	22	5	27	4
Mon Nov 29 01:18:22 2021	1638128902	26	1	27	0
Mon Nov 29 01:18:21 2021	1638128901	26	1	27	1
Mon Nov 29 01:18:22 2021	1638128902	25	2	27	2
Mon Nov 29 01:18:22 2021	1638128902	26	1	27	0
Mon Nov 29 01:18:22 2021	1638128902	26	1	27	1
Mon Nov 29 01:18:21 2021	1638128901	26	1	27	1
Mon Nov 29 01:18:21 2021	1638128901	26	1	27	1
Mon Nov 29 01:18:21 2021	1638128901	26	1	27	1
Mon Nov 29 01:18:22 2021	1638128902	26	1	27	1
Mon Nov 29 01:18:21 2021	1638128901	27	1	27	1
Mon Nov 29 01:18:22 2021	1638128902	26	1	27	0
Mon Nov 29 01:18:21 2021	1638128901	27	1	27	1
Mon Nov 29 01:18:21 2021	1638128901	26	2	27	1
Mon Nov 29 01:18:21 2021	1638128901	18	9	27	9
Mon Nov 29 01:18:22 2021	1638128902	24	3	28	3
Mon Nov 29 01:18:22 2021	1638128902	27	1	28	1
Mon Nov 29 01:18:22 2021	1638128902	27	1	28	1
Mon Nov 29 01:18:21 2021	1638128901	27	1	28	1
Mon Nov 29 01:18:22 2021	1638128902	27	1	28	1
Mon Nov 29 01:18:21 2021	1638128901	14	14	28	14
Mon Nov 29 01:18:22 2021	1638128902	26	2	28	2
Mon Nov 29 01:18:22 2021	1638128902	25	3	28	3
Mon Nov 29 01:18:22 2021	1638128902	28	1	28	1
Mon Nov 29 01:18:22 2021	1638128902	27	1	28	1
Mon Nov 29 01:18:22 2021	1638128902	28	1	29	1
Mon Nov 29 01:18:21 2021	1638128901	28	1	29	1
Mon Nov 29 01:18:21 2021	1638128901	27	1	29	1
Mon Nov 29 01:18:21 2021	1638128901	28	1	29	0
Mon Nov 29 01:18:21 2021	1638128901	28	1	29	1
Mon Nov 29 01:18:22 2021	1638128902	28	1	29	1
Mon Nov 29 01:18:21 2021	1638128901	19	10	29	10
Mon Nov 29 01:18:22 2021	1638128902	28	1	29	1
Mon Nov 29 01:18:21 2021	1638128901	17	12	29	12
Mon Nov 29 01:18:21 2021	1638128901	29	1	30	0
Mon Nov 29 01:18:21 2021	1638128901	18	12	30	12
Mon Nov 29 01:18:22 2021	1638128902	29	1	30	1
Mon Nov 29 01:18:21 2021	1638128901	15	15	30	14
Mon Nov 29 01:18:22 2021	1638128902	29	1	30	1
Mon Nov 29 01:18:22 2021	1638128902	19	11	30	10
Mon Nov 29 01:18:22 2021	1638128902	29	1	30	0
Mon Nov 29 01:18:21 2021	1638128901	19	11	30	11
Mon Nov 29 01:18:21 2021	1638128901	25	5	30	5
Mon Nov 29 01:18:22 2021	1638128902	29	1	30	0
Mon Nov 29 01:18:21 2021	1638128901	17	13	30	11
Mon Nov 29 01:18:21 2021	1638128901	29	1	30	0
Mon Nov 29 01:18:22 2021	1638128902	30	1	30	0
Mon Nov 29 01:18:21 2021	1638128901	22	9	30	8
Mon Nov 29 01:18:21 2021	1638128901	20	11	31	9
Mon Nov 29 01:18:21 2021	1638128901	18	13	31	13
Mon Nov 29 01:18:21 2021	1638128901	30	1	31	1
Mon Nov 29 01:18:22 2021	1638128902	30	1	31	1
Mon Nov 29 01:18:21 2021	1638128901	20	12	31	11
Mon Nov 29 01:18:22 2021	1638128902	19	13	31	13
Mon Nov 29 01:18:21 2021	1638128901	20	11	31	11
Mon Nov 29 01:18:22 2021	1638128902	31	1	32	1
Mon Nov 29 01:18:22 2021	1638128902	24	8	32	8
Mon Nov 29 01:18:21 2021	1638128901	17	15	32	14
Mon Nov 29 01:18:21 2021	1638128901	22	10	32	9
Mon Nov 29 01:18:21 2021	1638128901	24	8	32	8
Mon Nov 29 01:18:22 2021	1638128902	21	11	32	11
Mon Nov 29 01:18:21 2021	1638128901	17	15	32	14
Mon Nov 29 01:18:22 2021	1638128902	25	8	32	7
Mon Nov 29 01:18:21 2021	1638128901	32	1	32	1
Mon Nov 29 01:18:22 2021	1638128902	32	1	33	0
Mon Nov 29 01:18:21 2021	1638128901	23	10	33	9
Mon Nov 29 01:18:21 2021	1638128901	21	12	33	9
Mon Nov 29 01:18:21 2021	1638128901	32	1	33	1
Mon Nov 29 01:18:21 2021	1638128901	15	18	33	18
Mon Nov 29 01:18:21 2021	1638128901	32	1	33	1
Mon Nov 29 01:18:21 2021	1638128901	20	13	33	11
Mon Nov 29 01:18:21 2021	1638128901	33	0	33	0
Mon Nov 29 01:18:21 2021	1638128901	18	15	33	14
Mon Nov 29 01:18:21 2021	1638128901	32	1	33	1
Mon Nov 29 01:18:21 2021	1638128901	19	14	33	9
Mon Nov 29 01:18:22 2021	1638128902	20	13	33	13
Mon Nov 29 01:18:22 2021	1638128902	22	11	33	11
Mon Nov 29 01:18:21 2021	1638128901	32	1	33	1
Mon Nov 29 01:18:21 2021	1638128901	21	13	34	13
Mon Nov 29 01:18:22 2021	1638128902	23	11	34	10
Mon Nov 29 01:18:22 2021	1638128902	22	12	34	11
Mon Nov 29 01:18:22 2021	1638128902	23	11	35	11
Mon Nov 29 01:18:21 2021	1638128901	26	9	35	9
Mon Nov 29 01:18:22 2021	1638128902	27	8	35	7
Mon Nov 29 01:18:21 2021	1638128901	22	13	35	13
Mon Nov 29 01:18:22 2021	1638128902	27	8	35	7
Mon Nov 29 01:18:21 2021	1638128901	23	12	35	12
Mon Nov 29 01:18:22 2021	1638128902	26	9	35	8
Mon Nov 29 01:18:21 2021	1638128901	19	16	35	15
Mon Nov 29 01:18:21 2021	1638128901	25	10	35	10
Mon Nov 29 01:18:21 2021	1638128901	23	12	35	12
