starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 02:26:01 2021	1638132961	65	1	66	1
Mon Nov 29 02:26:01 2021	1638132961	65	1	67	1
Mon Nov 29 02:26:01 2021	1638132961	65	2	67	2
Mon Nov 29 02:26:01 2021	1638132961	66	1	67	1
Mon Nov 29 02:26:01 2021	1638132961	66	1	67	1
Mon Nov 29 02:26:01 2021	1638132961	67	1	67	1
Mon Nov 29 02:26:01 2021	1638132961	68	1	70	1
Mon Nov 29 02:26:00 2021	1638132960	68	4	72	2
Mon Nov 29 02:26:01 2021	1638132961	68	4	73	4
Mon Nov 29 02:26:01 2021	1638132961	74	1	74	1
Mon Nov 29 02:26:01 2021	1638132961	75	1	76	1
Mon Nov 29 02:26:00 2021	1638132960	74	3	77	3
Mon Nov 29 02:26:00 2021	1638132960	76	1	78	1
Mon Nov 29 02:26:00 2021	1638132960	77	1	78	1
Mon Nov 29 02:26:01 2021	1638132961	78	1	79	1
Mon Nov 29 02:26:00 2021	1638132960	79	1	80	1
Mon Nov 29 02:26:00 2021	1638132960	80	1	81	1
Mon Nov 29 02:26:00 2021	1638132960	81	1	82	1
Mon Nov 29 02:26:00 2021	1638132960	81	1	82	1
Mon Nov 29 02:26:01 2021	1638132961	82	1	83	1
Mon Nov 29 02:26:01 2021	1638132961	78	5	83	4
Mon Nov 29 02:26:01 2021	1638132961	83	1	83	1
Mon Nov 29 02:26:01 2021	1638132961	83	1	84	1
Mon Nov 29 02:26:00 2021	1638132960	85	1	86	1
Mon Nov 29 02:26:00 2021	1638132960	85	1	87	1
Mon Nov 29 02:26:00 2021	1638132960	85	1	87	1
Mon Nov 29 02:26:01 2021	1638132961	68	19	87	18
Mon Nov 29 02:26:01 2021	1638132961	90	2	91	2
Mon Nov 29 02:26:01 2021	1638132961	90	2	91	2
Mon Nov 29 02:26:01 2021	1638132961	90	2	91	2
Mon Nov 29 02:26:00 2021	1638132960	90	2	92	2
Mon Nov 29 02:26:01 2021	1638132961	93	1	93	1
Mon Nov 29 02:26:01 2021	1638132961	92	1	93	1
Mon Nov 29 02:26:01 2021	1638132961	96	1	97	1
Mon Nov 29 02:26:01 2021	1638132961	97	1	97	0
Mon Nov 29 02:26:00 2021	1638132960	98	2	100	2
Mon Nov 29 02:26:00 2021	1638132960	98	2	100	2
Mon Nov 29 02:26:00 2021	1638132960	99	2	101	2
Mon Nov 29 02:26:00 2021	1638132960	100	2	101	2
Mon Nov 29 02:26:00 2021	1638132960	100	2	101	2
Mon Nov 29 02:26:01 2021	1638132961	69	33	102	33
Mon Nov 29 02:26:01 2021	1638132961	106	1	107	0
