starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 02:47:21 2021	1638134241	46	17	64	16
Mon Nov 29 02:47:22 2021	1638134242	113	2	115	2
Mon Nov 29 02:47:22 2021	1638134242	113	2	115	2
Mon Nov 29 02:47:22 2021	1638134242	114	2	116	2
Mon Nov 29 02:47:22 2021	1638134242	114	3	116	2
Mon Nov 29 02:47:22 2021	1638134242	113	4	117	4
Mon Nov 29 02:47:22 2021	1638134242	115	2	117	2
Mon Nov 29 02:47:22 2021	1638134242	115	2	117	1
Mon Nov 29 02:47:22 2021	1638134242	115	2	117	1
Mon Nov 29 02:47:22 2021	1638134242	115	2	117	1
Mon Nov 29 02:47:21 2021	1638134241	116	14	130	10
Mon Nov 29 02:47:22 2021	1638134242	135	1	136	1
Mon Nov 29 02:47:21 2021	1638134241	138	3	142	3
Mon Nov 29 02:47:21 2021	1638134241	141	1	143	1
Mon Nov 29 02:47:22 2021	1638134242	145	2	147	1
Mon Nov 29 02:47:21 2021	1638134241	146	1	147	1
Mon Nov 29 02:47:22 2021	1638134242	143	4	147	4
Mon Nov 29 02:47:22 2021	1638134242	143	4	147	4
Mon Nov 29 02:47:22 2021	1638134242	145	3	148	3
Mon Nov 29 02:47:21 2021	1638134241	139	12	151	12
Mon Nov 29 02:47:21 2021	1638134241	151	2	152	1
Mon Nov 29 02:47:21 2021	1638134241	151	1	152	1
Mon Nov 29 02:47:21 2021	1638134241	151	1	153	1
Mon Nov 29 02:47:21 2021	1638134241	152	1	153	1
Mon Nov 29 02:47:21 2021	1638134241	153	1	154	1
Mon Nov 29 02:47:21 2021	1638134241	151	3	154	3
Mon Nov 29 02:47:21 2021	1638134241	142	12	154	12
Mon Nov 29 02:47:21 2021	1638134241	153	1	154	1
Mon Nov 29 02:47:21 2021	1638134241	143	12	155	12
Mon Nov 29 02:47:21 2021	1638134241	153	3	156	2
Mon Nov 29 02:47:21 2021	1638134241	155	2	157	2
Mon Nov 29 02:47:21 2021	1638134241	150	10	159	9
Mon Nov 29 02:47:21 2021	1638134241	149	10	159	10
Mon Nov 29 02:47:21 2021	1638134241	156	4	160	4
Mon Nov 29 02:47:21 2021	1638134241	157	4	161	4
Mon Nov 29 02:47:21 2021	1638134241	149	12	161	12
Mon Nov 29 02:47:21 2021	1638134241	149	12	162	12
Mon Nov 29 02:47:21 2021	1638134241	149	12	162	12
Mon Nov 29 02:47:21 2021	1638134241	150	12	162	12
Mon Nov 29 02:47:21 2021	1638134241	160	3	163	3
Mon Nov 29 02:47:21 2021	1638134241	161	2	163	2
Mon Nov 29 02:47:21 2021	1638134241	163	3	166	3
Mon Nov 29 02:47:21 2021	1638134241	163	4	167	3
Mon Nov 29 02:47:21 2021	1638134241	164	5	168	5
Mon Nov 29 02:47:21 2021	1638134241	169	1	170	1
Mon Nov 29 02:47:21 2021	1638134241	160	12	172	12
Mon Nov 29 02:47:21 2021	1638134241	169	3	172	3
Mon Nov 29 02:47:21 2021	1638134241	163	9	173	9
Mon Nov 29 02:47:22 2021	1638134242	127	48	175	48
Mon Nov 29 02:47:21 2021	1638134241	163	13	175	12
Mon Nov 29 02:47:22 2021	1638134242	129	47	176	46
Mon Nov 29 02:47:21 2021	1638134241	175	2	177	2
Mon Nov 29 02:47:21 2021	1638134241	165	13	177	12
Mon Nov 29 02:47:21 2021	1638134241	177	2	179	2
Mon Nov 29 02:47:22 2021	1638134242	135	49	183	48
Mon Nov 29 02:47:21 2021	1638134241	181	3	184	2
Mon Nov 29 02:47:22 2021	1638134242	113	72	185	71
Mon Nov 29 02:47:22 2021	1638134242	131	55	186	50
Mon Nov 29 02:47:22 2021	1638134242	131	56	187	55
Mon Nov 29 02:47:21 2021	1638134241	186	2	188	2
Mon Nov 29 02:47:22 2021	1638134242	134	57	190	51
Mon Nov 29 02:47:21 2021	1638134241	189	2	191	2
Mon Nov 29 02:47:21 2021	1638134241	189	4	193	4
Mon Nov 29 02:47:22 2021	1638134242	114	79	194	79
Mon Nov 29 02:47:21 2021	1638134241	193	2	194	2
Mon Nov 29 02:47:22 2021	1638134242	110	85	195	82
Mon Nov 29 02:47:22 2021	1638134242	131	64	195	57
Mon Nov 29 02:47:22 2021	1638134242	130	68	199	67
Mon Nov 29 02:47:21 2021	1638134241	197	2	199	2
Mon Nov 29 02:47:22 2021	1638134242	139	60	199	58
Mon Nov 29 02:47:22 2021	1638134242	142	57	200	57
Mon Nov 29 02:47:22 2021	1638134242	129	71	200	69
Mon Nov 29 02:47:22 2021	1638134242	114	86	200	82
Mon Nov 29 02:47:22 2021	1638134242	129	71	200	69
Mon Nov 29 02:47:22 2021	1638134242	141	59	200	59
Mon Nov 29 02:47:22 2021	1638134242	139	62	200	62
Mon Nov 29 02:47:22 2021	1638134242	144	58	202	55
Mon Nov 29 02:47:21 2021	1638134241	197	5	202	5
Mon Nov 29 02:47:22 2021	1638134242	108	96	205	96
Mon Nov 29 02:47:22 2021	1638134242	109	96	205	96
Mon Nov 29 02:47:22 2021	1638134242	107	98	206	86
Mon Nov 29 02:47:22 2021	1638134242	143	65	208	65
Mon Nov 29 02:47:21 2021	1638134241	209	1	210	1
Mon Nov 29 02:47:22 2021	1638134242	146	66	212	63
Mon Nov 29 02:47:22 2021	1638134242	147	68	214	67
Mon Nov 29 02:47:21 2021	1638134241	222	2	224	2
Mon Nov 29 02:47:21 2021	1638134241	222	2	224	2
Mon Nov 29 02:47:21 2021	1638134241	222	2	224	2
Mon Nov 29 02:47:21 2021	1638134241	222	2	225	2
Mon Nov 29 02:47:21 2021	1638134241	223	2	225	2
Mon Nov 29 02:47:21 2021	1638134241	223	2	225	2
Mon Nov 29 02:47:21 2021	1638134241	230	1	231	1
Mon Nov 29 02:47:21 2021	1638134241	231	1	232	1
Mon Nov 29 02:47:21 2021	1638134241	127	109	236	109
Mon Nov 29 02:47:21 2021	1638134241	153	87	240	81
Mon Nov 29 02:47:21 2021	1638134241	153	89	242	88
Mon Nov 29 02:47:21 2021	1638134241	164	77	242	77
Mon Nov 29 02:47:21 2021	1638134241	159	85	244	81
Mon Nov 29 02:47:21 2021	1638134241	163	88	251	88
Mon Nov 29 02:47:21 2021	1638134241	175	78	253	77
