starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 01:44:19 2021	1638130459	6	4	10	2
Mon Nov 29 01:44:19 2021	1638130459	23	1	24	1
Mon Nov 29 01:44:19 2021	1638130459	24	1	25	1
Mon Nov 29 01:44:19 2021	1638130459	31	1	32	0
Mon Nov 29 01:44:19 2021	1638130459	30	1	32	1
Mon Nov 29 01:44:19 2021	1638130459	31	2	32	1
Mon Nov 29 01:44:19 2021	1638130459	31	2	32	1
Mon Nov 29 01:44:19 2021	1638130459	32	1	32	1
Mon Nov 29 01:44:19 2021	1638130459	31	1	33	1
Mon Nov 29 01:44:19 2021	1638130459	32	1	33	0
Mon Nov 29 01:44:19 2021	1638130459	32	1	33	1
Mon Nov 29 01:44:19 2021	1638130459	32	1	33	1
Mon Nov 29 01:44:19 2021	1638130459	33	1	33	0
Mon Nov 29 01:44:19 2021	1638130459	34	1	35	1
Mon Nov 29 01:44:19 2021	1638130459	35	1	36	1
Mon Nov 29 01:44:19 2021	1638130459	36	1	37	1
Mon Nov 29 01:44:19 2021	1638130459	37	1	38	1
Mon Nov 29 01:44:19 2021	1638130459	36	2	38	2
Mon Nov 29 01:44:19 2021	1638130459	39	1	40	1
Mon Nov 29 01:44:19 2021	1638130459	40	1	41	1
Mon Nov 29 01:44:19 2021	1638130459	36	4	41	4
Mon Nov 29 01:44:19 2021	1638130459	40	1	41	0
Mon Nov 29 01:44:19 2021	1638130459	36	5	41	4
Mon Nov 29 01:44:19 2021	1638130459	41	1	42	1
Mon Nov 29 01:44:19 2021	1638130459	42	1	43	1
Mon Nov 29 01:44:19 2021	1638130459	43	1	43	1
Mon Nov 29 01:44:19 2021	1638130459	42	1	43	1
Mon Nov 29 01:44:19 2021	1638130459	43	1	43	1
Mon Nov 29 01:44:19 2021	1638130459	43	1	44	1
Mon Nov 29 01:44:19 2021	1638130459	43	1	44	0
Mon Nov 29 01:44:19 2021	1638130459	43	1	44	1
Mon Nov 29 01:44:19 2021	1638130459	43	1	44	1
Mon Nov 29 01:44:19 2021	1638130459	43	1	44	1
Mon Nov 29 01:44:19 2021	1638130459	43	1	44	1
Mon Nov 29 01:44:19 2021	1638130459	44	1	45	1
Mon Nov 29 01:44:19 2021	1638130459	43	2	45	2
Mon Nov 29 01:44:19 2021	1638130459	44	2	46	2
Mon Nov 29 01:44:19 2021	1638130459	44	1	46	1
Mon Nov 29 01:44:19 2021	1638130459	44	1	46	1
Mon Nov 29 01:44:19 2021	1638130459	45	1	46	1
Mon Nov 29 01:44:19 2021	1638130459	45	1	46	1
Mon Nov 29 01:44:19 2021	1638130459	22	25	47	25
Mon Nov 29 01:44:19 2021	1638130459	45	2	47	2
Mon Nov 29 01:44:19 2021	1638130459	48	1	49	1
Mon Nov 29 01:44:19 2021	1638130459	39	14	52	14
Mon Nov 29 01:44:19 2021	1638130459	52	1	52	1
Mon Nov 29 01:44:19 2021	1638130459	52	1	54	1
Mon Nov 29 01:44:19 2021	1638130459	22	31	54	31
Mon Nov 29 01:44:19 2021	1638130459	26	28	54	28
Mon Nov 29 01:44:19 2021	1638130459	27	27	54	27
Mon Nov 29 01:44:19 2021	1638130459	38	16	55	16
Mon Nov 29 01:44:19 2021	1638130459	54	2	56	2
Mon Nov 29 01:44:19 2021	1638130459	37	19	56	19
Mon Nov 29 01:44:19 2021	1638130459	33	23	56	22
Mon Nov 29 01:44:19 2021	1638130459	39	17	56	17
Mon Nov 29 01:44:19 2021	1638130459	27	30	57	30
Mon Nov 29 01:44:19 2021	1638130459	38	19	57	18
Mon Nov 29 01:44:19 2021	1638130459	37	20	58	18
Mon Nov 29 01:44:19 2021	1638130459	33	25	58	24
Mon Nov 29 01:44:19 2021	1638130459	41	17	58	17
Mon Nov 29 01:44:19 2021	1638130459	33	25	58	24
Mon Nov 29 01:44:19 2021	1638130459	40	18	58	18
Mon Nov 29 01:44:19 2021	1638130459	42	17	58	17
Mon Nov 29 01:44:19 2021	1638130459	38	21	59	19
Mon Nov 29 01:44:19 2021	1638130459	42	17	59	17
Mon Nov 29 01:44:19 2021	1638130459	37	22	59	21
Mon Nov 29 01:44:19 2021	1638130459	41	18	59	18
Mon Nov 29 01:44:19 2021	1638130459	40	19	59	18
Mon Nov 29 01:44:19 2021	1638130459	41	19	60	19
Mon Nov 29 01:44:19 2021	1638130459	40	20	60	14
Mon Nov 29 01:44:19 2021	1638130459	38	22	60	20
Mon Nov 29 01:44:19 2021	1638130459	42	19	61	19
Mon Nov 29 01:44:19 2021	1638130459	38	24	62	24
Mon Nov 29 01:44:19 2021	1638130459	32	29	62	29
Mon Nov 29 01:44:19 2021	1638130459	38	24	63	24
Mon Nov 29 01:44:19 2021	1638130459	39	24	63	20
Mon Nov 29 01:44:19 2021	1638130459	39	24	63	20
Mon Nov 29 01:44:19 2021	1638130459	38	25	64	25
Mon Nov 29 01:44:19 2021	1638130459	39	25	64	24
Mon Nov 29 01:44:19 2021	1638130459	40	25	64	24
Mon Nov 29 01:44:19 2021	1638130459	39	26	65	25
Mon Nov 29 01:44:19 2021	1638130459	39	26	65	20
Mon Nov 29 01:44:19 2021	1638130459	46	20	66	20
Mon Nov 29 01:44:19 2021	1638130459	46	20	66	20
Mon Nov 29 01:44:19 2021	1638130459	40	27	67	27
Mon Nov 29 01:44:19 2021	1638130459	39	30	69	25
Mon Nov 29 01:44:19 2021	1638130459	36	33	69	33
Mon Nov 29 01:44:19 2021	1638130459	48	21	69	20
