starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 08:45:21 2021	1638155721	19	2	20	2
Mon Nov 29 08:45:21 2021	1638155721	20	1	22	1
Mon Nov 29 08:45:21 2021	1638155721	22	1	23	0
Mon Nov 29 08:45:21 2021	1638155721	29	1	30	0
Mon Nov 29 08:45:22 2021	1638155722	28	2	31	2
Mon Nov 29 08:45:22 2021	1638155722	30	1	31	1
Mon Nov 29 08:45:21 2021	1638155721	31	1	31	1
Mon Nov 29 08:45:21 2021	1638155721	31	1	32	0
Mon Nov 29 08:45:21 2021	1638155721	31	1	32	1
Mon Nov 29 08:45:21 2021	1638155721	32	1	32	1
Mon Nov 29 08:45:21 2021	1638155721	32	1	33	0
Mon Nov 29 08:45:22 2021	1638155722	32	1	33	1
Mon Nov 29 08:45:21 2021	1638155721	32	1	33	1
Mon Nov 29 08:45:21 2021	1638155721	32	1	33	1
Mon Nov 29 08:45:21 2021	1638155721	32	1	33	1
Mon Nov 29 08:45:21 2021	1638155721	32	1	33	1
Mon Nov 29 08:45:21 2021	1638155721	33	1	33	1
Mon Nov 29 08:45:21 2021	1638155721	33	1	33	1
Mon Nov 29 08:45:21 2021	1638155721	33	1	33	1
Mon Nov 29 08:45:21 2021	1638155721	33	1	34	1
Mon Nov 29 08:45:21 2021	1638155721	33	1	34	1
Mon Nov 29 08:45:21 2021	1638155721	33	1	34	1
Mon Nov 29 08:45:21 2021	1638155721	33	1	34	1
Mon Nov 29 08:45:21 2021	1638155721	33	1	34	1
Mon Nov 29 08:45:21 2021	1638155721	33	1	34	1
Mon Nov 29 08:45:21 2021	1638155721	33	1	34	1
Mon Nov 29 08:45:21 2021	1638155721	33	1	34	1
Mon Nov 29 08:45:21 2021	1638155721	33	1	35	1
Mon Nov 29 08:45:21 2021	1638155721	34	1	35	1
Mon Nov 29 08:45:21 2021	1638155721	33	2	35	2
Mon Nov 29 08:45:21 2021	1638155721	33	2	35	2
Mon Nov 29 08:45:21 2021	1638155721	34	1	35	1
Mon Nov 29 08:45:21 2021	1638155721	34	1	35	0
Mon Nov 29 08:45:21 2021	1638155721	31	4	35	4
Mon Nov 29 08:45:22 2021	1638155722	35	1	36	1
Mon Nov 29 08:45:21 2021	1638155721	35	1	36	1
Mon Nov 29 08:45:21 2021	1638155721	35	1	36	1
Mon Nov 29 08:45:21 2021	1638155721	35	1	36	1
Mon Nov 29 08:45:21 2021	1638155721	34	1	36	1
Mon Nov 29 08:45:21 2021	1638155721	35	1	36	1
Mon Nov 29 08:45:21 2021	1638155721	35	1	36	1
Mon Nov 29 08:45:21 2021	1638155721	35	1	36	1
Mon Nov 29 08:45:21 2021	1638155721	35	1	36	1
Mon Nov 29 08:45:21 2021	1638155721	35	1	36	1
Mon Nov 29 08:45:21 2021	1638155721	36	1	36	1
Mon Nov 29 08:45:21 2021	1638155721	35	1	36	1
Mon Nov 29 08:45:21 2021	1638155721	36	1	36	1
Mon Nov 29 08:45:21 2021	1638155721	35	1	37	1
Mon Nov 29 08:45:21 2021	1638155721	36	1	37	1
Mon Nov 29 08:45:21 2021	1638155721	36	1	37	1
Mon Nov 29 08:45:21 2021	1638155721	36	1	37	0
Mon Nov 29 08:45:21 2021	1638155721	36	1	37	1
Mon Nov 29 08:45:21 2021	1638155721	37	1	37	1
Mon Nov 29 08:45:21 2021	1638155721	37	1	37	1
Mon Nov 29 08:45:21 2021	1638155721	36	1	37	1
Mon Nov 29 08:45:21 2021	1638155721	37	1	38	0
Mon Nov 29 08:45:22 2021	1638155722	37	1	38	1
Mon Nov 29 08:45:21 2021	1638155721	37	1	38	1
Mon Nov 29 08:45:21 2021	1638155721	38	1	38	1
Mon Nov 29 08:45:21 2021	1638155721	38	1	39	1
Mon Nov 29 08:45:21 2021	1638155721	38	1	39	1
Mon Nov 29 08:45:21 2021	1638155721	36	3	39	3
Mon Nov 29 08:45:21 2021	1638155721	38	1	39	1
Mon Nov 29 08:45:22 2021	1638155722	37	2	39	2
Mon Nov 29 08:45:21 2021	1638155721	38	1	39	1
Mon Nov 29 08:45:20 2021	1638155720	35	4	39	4
Mon Nov 29 08:45:21 2021	1638155721	39	0	39	0
Mon Nov 29 08:45:21 2021	1638155721	39	1	40	1
Mon Nov 29 08:45:21 2021	1638155721	29	11	40	11
Mon Nov 29 08:45:21 2021	1638155721	40	1	40	1
Mon Nov 29 08:45:22 2021	1638155722	39	1	40	1
Mon Nov 29 08:45:21 2021	1638155721	40	1	40	1
Mon Nov 29 08:45:21 2021	1638155721	40	1	40	1
Mon Nov 29 08:45:21 2021	1638155721	40	1	41	1
Mon Nov 29 08:45:21 2021	1638155721	40	1	41	1
Mon Nov 29 08:45:21 2021	1638155721	41	1	41	1
Mon Nov 29 08:45:22 2021	1638155722	41	1	42	1
Mon Nov 29 08:45:21 2021	1638155721	41	1	42	1
Mon Nov 29 08:45:21 2021	1638155721	41	1	43	1
Mon Nov 29 08:45:22 2021	1638155722	18	24	43	24
Mon Nov 29 08:45:22 2021	1638155722	42	1	43	1
Mon Nov 29 08:45:22 2021	1638155722	43	1	43	1
Mon Nov 29 08:45:21 2021	1638155721	38	5	43	5
Mon Nov 29 08:45:21 2021	1638155721	42	1	43	1
Mon Nov 29 08:45:21 2021	1638155721	42	1	43	1
Mon Nov 29 08:45:22 2021	1638155722	43	1	43	1
