starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 07:59:59 2021	1638152999	29	5	34	5
Mon Nov 29 08:00:02 2021	1638153002	116	6	121	5
Mon Nov 29 08:00:02 2021	1638153002	124	33	157	32
Mon Nov 29 08:00:02 2021	1638153002	125	33	158	32
Mon Nov 29 08:00:00 2021	1638153000	158	6	164	6
Mon Nov 29 08:00:00 2021	1638153000	157	13	170	13
Mon Nov 29 08:00:01 2021	1638153001	176	2	177	1
Mon Nov 29 08:00:02 2021	1638153002	124	60	183	59
Mon Nov 29 08:00:02 2021	1638153002	124	60	184	59
Mon Nov 29 08:00:01 2021	1638153001	188	1	189	0
Mon Nov 29 08:00:02 2021	1638153002	162	32	194	31
Mon Nov 29 08:00:01 2021	1638153001	195	1	196	0
Mon Nov 29 07:59:59 2021	1638152999	150	51	202	51
Mon Nov 29 07:59:59 2021	1638152999	151	51	203	51
Mon Nov 29 07:59:59 2021	1638152999	128	86	214	86
Mon Nov 29 07:59:59 2021	1638152999	126	88	214	88
Mon Nov 29 08:00:00 2021	1638153000	170	49	219	48
Mon Nov 29 08:00:01 2021	1638153001	175	47	223	47
Mon Nov 29 08:00:02 2021	1638153002	222	2	224	2
Mon Nov 29 08:00:02 2021	1638153002	235	1	235	0
Mon Nov 29 08:00:00 2021	1638153000	172	70	242	68
Mon Nov 29 08:00:01 2021	1638153001	184	64	248	64
Mon Nov 29 08:00:02 2021	1638153002	214	36	250	35
Mon Nov 29 07:59:59 2021	1638152999	253	1	254	0
Mon Nov 29 08:00:02 2021	1638153002	231	23	254	23
Mon Nov 29 08:00:02 2021	1638153002	212	42	254	41
Mon Nov 29 07:59:59 2021	1638152999	257	1	258	0
Mon Nov 29 07:59:59 2021	1638152999	258	1	259	0
Mon Nov 29 08:00:01 2021	1638153001	180	83	263	82
Mon Nov 29 08:00:00 2021	1638153000	258	7	265	7
Mon Nov 29 07:59:59 2021	1638152999	265	3	268	3
Mon Nov 29 08:00:01 2021	1638153001	268	1	269	0
Mon Nov 29 07:59:59 2021	1638152999	281	1	282	0
Mon Nov 29 08:00:01 2021	1638153001	196	87	283	86
Mon Nov 29 07:59:59 2021	1638152999	257	26	284	25
Mon Nov 29 07:59:59 2021	1638152999	283	1	284	0
Mon Nov 29 07:59:59 2021	1638152999	185	101	286	101
Mon Nov 29 07:59:59 2021	1638152999	194	92	286	92
Mon Nov 29 07:59:59 2021	1638152999	201	86	287	86
Mon Nov 29 07:59:59 2021	1638152999	201	87	288	86
Mon Nov 29 07:59:59 2021	1638152999	221	70	291	66
Mon Nov 29 07:59:59 2021	1638152999	220	71	291	71
Mon Nov 29 07:59:59 2021	1638152999	289	3	292	3
Mon Nov 29 07:59:59 2021	1638152999	293	2	294	1
Mon Nov 29 07:59:59 2021	1638152999	294	2	296	1
Mon Nov 29 07:59:59 2021	1638152999	294	2	296	2
