starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 11:05:28 2021	1638164128	14	1	15	1
Mon Nov 29 11:05:28 2021	1638164128	19	1	20	1
Mon Nov 29 11:05:29 2021	1638164129	19	1	20	1
Mon Nov 29 11:05:28 2021	1638164128	20	1	20	0
Mon Nov 29 11:05:28 2021	1638164128	20	1	21	0
Mon Nov 29 11:05:30 2021	1638164130	22	1	23	1
Mon Nov 29 11:05:30 2021	1638164130	23	1	23	1
Mon Nov 29 11:05:29 2021	1638164129	23	1	24	0
Mon Nov 29 11:05:28 2021	1638164128	24	1	25	1
Mon Nov 29 11:05:29 2021	1638164129	24	1	25	0
Mon Nov 29 11:05:29 2021	1638164129	26	1	26	0
Mon Nov 29 11:05:28 2021	1638164128	26	4	29	4
Mon Nov 29 11:05:30 2021	1638164130	28	1	29	1
Mon Nov 29 11:05:28 2021	1638164128	17	13	29	13
Mon Nov 29 11:05:30 2021	1638164130	29	1	30	1
Mon Nov 29 11:05:29 2021	1638164129	30	1	30	0
Mon Nov 29 11:05:29 2021	1638164129	25	6	31	6
Mon Nov 29 11:05:30 2021	1638164130	30	1	31	1
Mon Nov 29 11:05:28 2021	1638164128	25	6	31	5
Mon Nov 29 11:05:28 2021	1638164128	30	1	31	1
Mon Nov 29 11:05:29 2021	1638164129	31	1	31	1
Mon Nov 29 11:05:28 2021	1638164128	18	14	31	13
Mon Nov 29 11:05:29 2021	1638164129	31	1	32	1
Mon Nov 29 11:05:29 2021	1638164129	31	1	32	0
Mon Nov 29 11:05:29 2021	1638164129	31	1	32	1
Mon Nov 29 11:05:29 2021	1638164129	32	1	32	0
Mon Nov 29 11:05:28 2021	1638164128	31	1	32	1
Mon Nov 29 11:05:29 2021	1638164129	31	2	32	2
Mon Nov 29 11:05:29 2021	1638164129	32	1	32	1
Mon Nov 29 11:05:28 2021	1638164128	32	1	32	1
Mon Nov 29 11:05:28 2021	1638164128	32	1	32	1
Mon Nov 29 11:05:28 2021	1638164128	32	1	33	0
Mon Nov 29 11:05:30 2021	1638164130	32	1	33	1
Mon Nov 29 11:05:29 2021	1638164129	32	1	33	1
Mon Nov 29 11:05:29 2021	1638164129	32	0	33	0
Mon Nov 29 11:05:30 2021	1638164130	32	1	33	1
Mon Nov 29 11:05:30 2021	1638164130	32	1	33	1
Mon Nov 29 11:05:29 2021	1638164129	30	3	33	3
Mon Nov 29 11:05:29 2021	1638164129	31	2	33	2
Mon Nov 29 11:05:29 2021	1638164129	33	1	33	0
Mon Nov 29 11:05:29 2021	1638164129	33	1	33	0
Mon Nov 29 11:05:29 2021	1638164129	28	5	34	5
Mon Nov 29 11:05:30 2021	1638164130	33	1	34	1
Mon Nov 29 11:05:29 2021	1638164129	33	1	34	0
Mon Nov 29 11:05:30 2021	1638164130	33	1	34	1
Mon Nov 29 11:05:30 2021	1638164130	25	8	34	8
Mon Nov 29 11:05:29 2021	1638164129	33	1	34	1
Mon Nov 29 11:05:30 2021	1638164130	33	1	34	1
Mon Nov 29 11:05:29 2021	1638164129	33	1	34	0
Mon Nov 29 11:05:30 2021	1638164130	33	1	34	1
Mon Nov 29 11:05:29 2021	1638164129	33	1	34	0
Mon Nov 29 11:05:30 2021	1638164130	33	1	34	1
Mon Nov 29 11:05:29 2021	1638164129	34	1	34	1
Mon Nov 29 11:05:30 2021	1638164130	33	1	34	1
Mon Nov 29 11:05:29 2021	1638164129	34	1	34	0
Mon Nov 29 11:05:29 2021	1638164129	34	1	34	1
Mon Nov 29 11:05:29 2021	1638164129	34	1	35	1
Mon Nov 29 11:05:29 2021	1638164129	34	1	35	1
Mon Nov 29 11:05:29 2021	1638164129	34	1	35	0
Mon Nov 29 11:05:29 2021	1638164129	33	1	35	1
Mon Nov 29 11:05:29 2021	1638164129	34	1	35	0
Mon Nov 29 11:05:29 2021	1638164129	32	3	35	2
Mon Nov 29 11:05:29 2021	1638164129	34	1	35	0
Mon Nov 29 11:05:29 2021	1638164129	34	1	35	1
Mon Nov 29 11:05:28 2021	1638164128	33	2	35	2
Mon Nov 29 11:05:29 2021	1638164129	34	1	35	1
Mon Nov 29 11:05:28 2021	1638164128	34	1	35	1
Mon Nov 29 11:05:30 2021	1638164130	34	1	35	1
Mon Nov 29 11:05:29 2021	1638164129	35	1	35	1
Mon Nov 29 11:05:29 2021	1638164129	35	1	35	1
Mon Nov 29 11:05:28 2021	1638164128	33	3	36	3
Mon Nov 29 11:05:30 2021	1638164130	35	1	36	1
Mon Nov 29 11:05:29 2021	1638164129	35	1	36	1
Mon Nov 29 11:05:29 2021	1638164129	34	2	36	2
Mon Nov 29 11:05:30 2021	1638164130	34	3	36	2
Mon Nov 29 11:05:29 2021	1638164129	34	3	37	3
Mon Nov 29 11:05:30 2021	1638164130	36	1	37	1
Mon Nov 29 11:05:29 2021	1638164129	35	2	37	1
Mon Nov 29 11:05:29 2021	1638164129	36	1	37	1
Mon Nov 29 11:05:30 2021	1638164130	37	1	37	0
Mon Nov 29 11:05:29 2021	1638164129	35	2	37	2
