starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 08:54:18 2021	1638156258	32	6	38	6
Mon Nov 29 08:54:18 2021	1638156258	38	3	41	3
Mon Nov 29 08:54:18 2021	1638156258	46	1	47	1
Mon Nov 29 08:54:18 2021	1638156258	48	2	50	1
Mon Nov 29 08:54:18 2021	1638156258	49	2	50	2
Mon Nov 29 08:54:17 2021	1638156257	50	1	51	1
Mon Nov 29 08:54:18 2021	1638156258	50	2	51	1
Mon Nov 29 08:54:18 2021	1638156258	51	2	52	2
Mon Nov 29 08:54:17 2021	1638156257	53	1	54	1
Mon Nov 29 08:54:17 2021	1638156257	52	3	55	2
Mon Nov 29 08:54:18 2021	1638156258	52	2	55	2
Mon Nov 29 08:54:17 2021	1638156257	55	1	56	1
Mon Nov 29 08:54:17 2021	1638156257	55	1	56	1
Mon Nov 29 08:54:17 2021	1638156257	57	1	58	1
Mon Nov 29 08:54:18 2021	1638156258	50	9	59	9
Mon Nov 29 08:54:17 2021	1638156257	58	1	59	1
Mon Nov 29 08:54:18 2021	1638156258	59	1	60	1
Mon Nov 29 08:54:17 2021	1638156257	57	3	60	3
Mon Nov 29 08:54:17 2021	1638156257	59	1	61	1
Mon Nov 29 08:54:17 2021	1638156257	56	6	61	6
Mon Nov 29 08:54:17 2021	1638156257	60	1	62	1
Mon Nov 29 08:54:17 2021	1638156257	61	1	62	1
Mon Nov 29 08:54:17 2021	1638156257	61	2	62	2
Mon Nov 29 08:54:17 2021	1638156257	62	1	63	1
Mon Nov 29 08:54:17 2021	1638156257	61	2	63	2
Mon Nov 29 08:54:17 2021	1638156257	57	6	63	6
Mon Nov 29 08:54:17 2021	1638156257	62	2	64	1
Mon Nov 29 08:54:17 2021	1638156257	62	2	64	2
Mon Nov 29 08:54:17 2021	1638156257	62	2	64	2
Mon Nov 29 08:54:17 2021	1638156257	63	1	64	1
Mon Nov 29 08:54:18 2021	1638156258	63	1	64	1
Mon Nov 29 08:54:19 2021	1638156259	47	17	65	17
Mon Nov 29 08:54:18 2021	1638156258	60	5	65	5
Mon Nov 29 08:54:19 2021	1638156259	48	17	65	15
Mon Nov 29 08:54:17 2021	1638156257	64	1	65	1
Mon Nov 29 08:54:18 2021	1638156258	63	2	65	2
Mon Nov 29 08:54:18 2021	1638156258	49	16	65	14
Mon Nov 29 08:54:18 2021	1638156258	65	1	66	1
Mon Nov 29 08:54:18 2021	1638156258	57	10	66	9
Mon Nov 29 08:54:18 2021	1638156258	65	2	66	2
Mon Nov 29 08:54:18 2021	1638156258	65	2	67	1
Mon Nov 29 08:54:18 2021	1638156258	66	1	67	1
Mon Nov 29 08:54:18 2021	1638156258	66	1	67	1
Mon Nov 29 08:54:18 2021	1638156258	66	1	68	1
Mon Nov 29 08:54:18 2021	1638156258	65	3	68	2
Mon Nov 29 08:54:17 2021	1638156257	67	2	68	1
Mon Nov 29 08:54:17 2021	1638156257	67	1	68	1
Mon Nov 29 08:54:18 2021	1638156258	67	1	68	1
Mon Nov 29 08:54:18 2021	1638156258	64	4	69	4
Mon Nov 29 08:54:18 2021	1638156258	53	15	69	13
Mon Nov 29 08:54:17 2021	1638156257	68	1	69	1
Mon Nov 29 08:54:17 2021	1638156257	64	6	69	6
Mon Nov 29 08:54:17 2021	1638156257	68	1	70	1
Mon Nov 29 08:54:19 2021	1638156259	67	2	70	2
Mon Nov 29 08:54:18 2021	1638156258	65	4	70	4
Mon Nov 29 08:54:18 2021	1638156258	69	1	70	1
Mon Nov 29 08:54:17 2021	1638156257	68	1	70	1
Mon Nov 29 08:54:17 2021	1638156257	68	2	70	2
Mon Nov 29 08:54:17 2021	1638156257	69	1	71	1
Mon Nov 29 08:54:18 2021	1638156258	67	4	71	4
Mon Nov 29 08:54:18 2021	1638156258	67	4	71	4
Mon Nov 29 08:54:17 2021	1638156257	69	3	72	2
Mon Nov 29 08:54:17 2021	1638156257	69	4	73	4
Mon Nov 29 08:54:18 2021	1638156258	72	1	73	1
Mon Nov 29 08:54:17 2021	1638156257	69	4	73	4
Mon Nov 29 08:54:18 2021	1638156258	69	4	73	4
Mon Nov 29 08:54:18 2021	1638156258	72	2	73	1
Mon Nov 29 08:54:18 2021	1638156258	71	2	73	2
Mon Nov 29 08:54:17 2021	1638156257	72	1	73	1
Mon Nov 29 08:54:18 2021	1638156258	72	1	73	1
Mon Nov 29 08:54:18 2021	1638156258	72	1	73	1
Mon Nov 29 08:54:18 2021	1638156258	71	3	74	3
Mon Nov 29 08:54:18 2021	1638156258	73	2	74	2
Mon Nov 29 08:54:18 2021	1638156258	71	3	74	3
Mon Nov 29 08:54:19 2021	1638156259	73	2	76	2
Mon Nov 29 08:54:19 2021	1638156259	75	1	76	1
Mon Nov 29 08:54:19 2021	1638156259	75	2	77	2
Mon Nov 29 08:54:19 2021	1638156259	74	3	77	2
Mon Nov 29 08:54:18 2021	1638156258	76	2	78	2
Mon Nov 29 08:54:18 2021	1638156258	74	4	78	4
Mon Nov 29 08:54:18 2021	1638156258	76	2	78	2
Mon Nov 29 08:54:18 2021	1638156258	75	4	79	4
Mon Nov 29 08:54:17 2021	1638156257	78	1	79	1
Mon Nov 29 08:54:17 2021	1638156257	75	4	79	4
Mon Nov 29 08:54:18 2021	1638156258	51	29	80	24
Mon Nov 29 08:54:17 2021	1638156257	50	30	80	27
Mon Nov 29 08:54:18 2021	1638156258	76	4	80	4
Mon Nov 29 08:54:17 2021	1638156257	78	3	81	3
Mon Nov 29 08:54:19 2021	1638156259	48	34	82	34
Mon Nov 29 08:54:18 2021	1638156258	80	1	82	1
Mon Nov 29 08:54:18 2021	1638156258	73	9	82	9
Mon Nov 29 08:54:18 2021	1638156258	78	5	83	5
Mon Nov 29 08:54:18 2021	1638156258	43	40	83	40
Mon Nov 29 08:54:18 2021	1638156258	60	24	84	24
Mon Nov 29 08:54:18 2021	1638156258	81	4	85	4
Mon Nov 29 08:54:18 2021	1638156258	49	36	85	36
Mon Nov 29 08:54:18 2021	1638156258	46	39	85	39
Mon Nov 29 08:54:17 2021	1638156257	61	24	85	23
Mon Nov 29 08:54:17 2021	1638156257	53	32	86	30
Mon Nov 29 08:54:17 2021	1638156257	52	34	86	27
Mon Nov 29 08:54:18 2021	1638156258	83	4	87	4
Mon Nov 29 08:54:18 2021	1638156258	51	36	87	24
Mon Nov 29 08:54:17 2021	1638156257	84	4	88	4
Mon Nov 29 08:54:19 2021	1638156259	86	3	88	2
Mon Nov 29 08:54:18 2021	1638156258	88	1	89	1
Mon Nov 29 08:54:18 2021	1638156258	48	41	89	40
Mon Nov 29 08:54:18 2021	1638156258	87	2	89	2
Mon Nov 29 08:54:18 2021	1638156258	50	39	89	37
Mon Nov 29 08:54:18 2021	1638156258	47	43	90	43
Mon Nov 29 08:54:17 2021	1638156257	86	4	90	4
Mon Nov 29 08:54:18 2021	1638156258	48	42	90	35
Mon Nov 29 08:54:18 2021	1638156258	87	3	91	3
Mon Nov 29 08:54:18 2021	1638156258	49	41	91	41
Mon Nov 29 08:54:18 2021	1638156258	34	57	91	57
Mon Nov 29 08:54:18 2021	1638156258	84	8	92	8
Mon Nov 29 08:54:18 2021	1638156258	68	23	92	21
Mon Nov 29 08:54:17 2021	1638156257	90	4	94	4
Mon Nov 29 08:54:18 2021	1638156258	91	3	94	3
Mon Nov 29 08:54:17 2021	1638156257	60	34	94	34
Mon Nov 29 08:54:18 2021	1638156258	34	61	95	61
Mon Nov 29 08:54:19 2021	1638156259	92	3	95	3
Mon Nov 29 08:54:18 2021	1638156258	49	46	95	46
Mon Nov 29 08:54:17 2021	1638156257	64	31	96	31
Mon Nov 29 08:54:18 2021	1638156258	92	5	96	4
Mon Nov 29 08:54:18 2021	1638156258	52	44	97	44
Mon Nov 29 08:54:18 2021	1638156258	61	36	97	36
Mon Nov 29 08:54:17 2021	1638156257	64	33	97	33
Mon Nov 29 08:54:17 2021	1638156257	67	30	98	29
Mon Nov 29 08:54:17 2021	1638156257	68	31	99	31
