starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 08:14:51 2021	1638153891	17	5	22	3
Mon Nov 29 08:14:51 2021	1638153891	23	1	24	1
Mon Nov 29 08:14:51 2021	1638153891	22	2	24	1
Mon Nov 29 08:14:51 2021	1638153891	23	2	24	1
Mon Nov 29 08:14:51 2021	1638153891	24	1	25	1
Mon Nov 29 08:14:51 2021	1638153891	23	1	25	0
Mon Nov 29 08:14:51 2021	1638153891	24	1	25	0
Mon Nov 29 08:14:51 2021	1638153891	24	1	25	1
Mon Nov 29 08:14:52 2021	1638153892	21	4	25	4
Mon Nov 29 08:14:51 2021	1638153891	26	0	26	0
Mon Nov 29 08:14:51 2021	1638153891	27	0	27	0
Mon Nov 29 08:14:51 2021	1638153891	22	6	28	6
Mon Nov 29 08:14:51 2021	1638153891	31	1	32	1
Mon Nov 29 08:14:51 2021	1638153891	26	8	33	3
Mon Nov 29 08:14:51 2021	1638153891	33	1	33	1
Mon Nov 29 08:14:51 2021	1638153891	30	4	34	4
Mon Nov 29 08:14:51 2021	1638153891	33	1	34	1
Mon Nov 29 08:14:51 2021	1638153891	33	1	34	1
Mon Nov 29 08:14:51 2021	1638153891	33	1	34	1
Mon Nov 29 08:14:52 2021	1638153892	33	1	35	1
Mon Nov 29 08:14:52 2021	1638153892	34	1	35	1
Mon Nov 29 08:14:51 2021	1638153891	31	3	35	3
Mon Nov 29 08:14:51 2021	1638153891	34	1	35	1
Mon Nov 29 08:14:51 2021	1638153891	35	1	35	1
Mon Nov 29 08:14:51 2021	1638153891	34	1	35	1
Mon Nov 29 08:14:51 2021	1638153891	34	1	36	1
Mon Nov 29 08:14:51 2021	1638153891	35	1	36	1
Mon Nov 29 08:14:51 2021	1638153891	35	1	36	0
Mon Nov 29 08:14:51 2021	1638153891	35	1	36	1
Mon Nov 29 08:14:51 2021	1638153891	36	1	36	1
Mon Nov 29 08:14:51 2021	1638153891	34	3	37	3
Mon Nov 29 08:14:51 2021	1638153891	36	1	37	1
Mon Nov 29 08:14:51 2021	1638153891	36	1	37	1
Mon Nov 29 08:14:52 2021	1638153892	36	1	37	1
Mon Nov 29 08:14:51 2021	1638153891	37	1	37	1
Mon Nov 29 08:14:51 2021	1638153891	37	1	38	1
Mon Nov 29 08:14:51 2021	1638153891	35	3	38	3
Mon Nov 29 08:14:51 2021	1638153891	36	2	38	2
Mon Nov 29 08:14:51 2021	1638153891	38	1	38	1
Mon Nov 29 08:14:51 2021	1638153891	38	1	39	1
Mon Nov 29 08:14:52 2021	1638153892	39	1	39	1
Mon Nov 29 08:14:52 2021	1638153892	38	2	40	2
Mon Nov 29 08:14:51 2021	1638153891	39	1	40	1
Mon Nov 29 08:14:51 2021	1638153891	37	3	40	3
Mon Nov 29 08:14:51 2021	1638153891	39	1	40	1
Mon Nov 29 08:14:51 2021	1638153891	40	1	41	1
Mon Nov 29 08:14:51 2021	1638153891	36	5	41	5
Mon Nov 29 08:14:51 2021	1638153891	41	1	41	1
Mon Nov 29 08:14:51 2021	1638153891	40	1	41	1
Mon Nov 29 08:14:51 2021	1638153891	36	6	42	6
Mon Nov 29 08:14:51 2021	1638153891	41	1	42	1
Mon Nov 29 08:14:51 2021	1638153891	41	1	42	1
Mon Nov 29 08:14:52 2021	1638153892	41	1	42	1
Mon Nov 29 08:14:51 2021	1638153891	40	2	43	2
Mon Nov 29 08:14:51 2021	1638153891	37	6	43	6
Mon Nov 29 08:14:52 2021	1638153892	42	1	43	1
Mon Nov 29 08:14:51 2021	1638153891	33	10	43	10
Mon Nov 29 08:14:52 2021	1638153892	42	1	43	1
Mon Nov 29 08:14:51 2021	1638153891	42	2	44	1
Mon Nov 29 08:14:51 2021	1638153891	43	1	44	1
Mon Nov 29 08:14:52 2021	1638153892	43	1	44	1
Mon Nov 29 08:14:52 2021	1638153892	38	6	44	6
Mon Nov 29 08:14:51 2021	1638153891	43	1	44	1
Mon Nov 29 08:14:51 2021	1638153891	43	1	44	1
Mon Nov 29 08:14:52 2021	1638153892	44	1	44	1
Mon Nov 29 08:14:51 2021	1638153891	34	10	44	10
Mon Nov 29 08:14:51 2021	1638153891	44	1	45	1
Mon Nov 29 08:14:51 2021	1638153891	44	1	45	1
Mon Nov 29 08:14:51 2021	1638153891	43	2	45	2
Mon Nov 29 08:14:51 2021	1638153891	44	1	45	1
Mon Nov 29 08:14:51 2021	1638153891	44	1	45	1
Mon Nov 29 08:14:51 2021	1638153891	22	23	45	23
Mon Nov 29 08:14:52 2021	1638153892	44	2	45	1
Mon Nov 29 08:14:51 2021	1638153891	34	12	45	11
Mon Nov 29 08:14:51 2021	1638153891	45	1	46	1
Mon Nov 29 08:14:52 2021	1638153892	27	18	46	18
Mon Nov 29 08:14:52 2021	1638153892	45	1	46	1
Mon Nov 29 08:14:52 2021	1638153892	29	17	46	16
Mon Nov 29 08:14:51 2021	1638153891	45	1	46	1
Mon Nov 29 08:14:52 2021	1638153892	44	1	46	1
Mon Nov 29 08:14:51 2021	1638153891	45	1	46	1
Mon Nov 29 08:14:51 2021	1638153891	45	1	46	1
Mon Nov 29 08:14:51 2021	1638153891	45	1	46	0
Mon Nov 29 08:14:51 2021	1638153891	45	1	46	1
Mon Nov 29 08:14:51 2021	1638153891	45	1	46	1
Mon Nov 29 08:14:52 2021	1638153892	45	1	46	1
Mon Nov 29 08:14:52 2021	1638153892	34	12	46	12
Mon Nov 29 08:14:51 2021	1638153891	46	1	46	1
Mon Nov 29 08:14:51 2021	1638153891	46	1	46	1
Mon Nov 29 08:14:51 2021	1638153891	46	1	47	1
Mon Nov 29 08:14:51 2021	1638153891	45	1	47	1
Mon Nov 29 08:14:51 2021	1638153891	25	22	47	22
Mon Nov 29 08:14:51 2021	1638153891	46	1	47	1
Mon Nov 29 08:14:51 2021	1638153891	47	1	47	1
Mon Nov 29 08:14:51 2021	1638153891	47	1	48	1
Mon Nov 29 08:14:51 2021	1638153891	47	1	48	1
Mon Nov 29 08:14:51 2021	1638153891	23	25	48	25
Mon Nov 29 08:14:52 2021	1638153892	47	1	48	1
Mon Nov 29 08:14:51 2021	1638153891	41	7	48	6
Mon Nov 29 08:14:52 2021	1638153892	20	27	48	27
Mon Nov 29 08:14:51 2021	1638153891	44	4	48	3
Mon Nov 29 08:14:51 2021	1638153891	43	5	48	1
Mon Nov 29 08:14:51 2021	1638153891	25	23	48	22
Mon Nov 29 08:14:51 2021	1638153891	47	1	48	1
Mon Nov 29 08:14:51 2021	1638153891	46	2	48	1
Mon Nov 29 08:14:51 2021	1638153891	47	1	48	1
Mon Nov 29 08:14:52 2021	1638153892	33	16	49	15
Mon Nov 29 08:14:51 2021	1638153891	33	16	49	9
Mon Nov 29 08:14:52 2021	1638153892	34	15	49	14
Mon Nov 29 08:14:51 2021	1638153891	36	13	49	13
Mon Nov 29 08:14:52 2021	1638153892	25	24	49	24
Mon Nov 29 08:14:51 2021	1638153891	27	22	49	21
Mon Nov 29 08:14:52 2021	1638153892	49	1	49	1
Mon Nov 29 08:14:51 2021	1638153891	43	7	49	6
Mon Nov 29 08:14:51 2021	1638153891	33	17	50	17
Mon Nov 29 08:14:51 2021	1638153891	49	2	50	2
Mon Nov 29 08:14:52 2021	1638153892	27	24	51	24
Mon Nov 29 08:14:52 2021	1638153892	29	22	51	22
Mon Nov 29 08:14:51 2021	1638153891	40	11	51	11
Mon Nov 29 08:14:52 2021	1638153892	18	34	52	34
Mon Nov 29 08:14:51 2021	1638153891	50	1	52	1
Mon Nov 29 08:14:52 2021	1638153892	22	30	52	30
Mon Nov 29 08:14:52 2021	1638153892	39	13	52	12
Mon Nov 29 08:14:51 2021	1638153891	34	18	52	18
Mon Nov 29 08:14:52 2021	1638153892	45	8	52	8
Mon Nov 29 08:14:52 2021	1638153892	26	27	52	26
Mon Nov 29 08:14:51 2021	1638153891	22	30	52	30
Mon Nov 29 08:14:52 2021	1638153892	39	13	52	13
Mon Nov 29 08:14:51 2021	1638153891	23	29	52	29
Mon Nov 29 08:14:51 2021	1638153891	47	6	53	6
Mon Nov 29 08:14:52 2021	1638153892	23	29	53	27
Mon Nov 29 08:14:52 2021	1638153892	28	25	53	25
Mon Nov 29 08:14:51 2021	1638153891	37	16	53	16
Mon Nov 29 08:14:52 2021	1638153892	40	13	53	13
Mon Nov 29 08:14:51 2021	1638153891	53	1	53	1
Mon Nov 29 08:14:52 2021	1638153892	53	1	53	1
Mon Nov 29 08:14:51 2021	1638153891	22	32	53	31
Mon Nov 29 08:14:52 2021	1638153892	17	36	54	36
Mon Nov 29 08:14:51 2021	1638153891	53	1	54	1
Mon Nov 29 08:14:51 2021	1638153891	38	16	54	16
Mon Nov 29 08:14:52 2021	1638153892	53	1	54	1
Mon Nov 29 08:14:52 2021	1638153892	21	33	54	33
Mon Nov 29 08:14:51 2021	1638153891	33	21	54	19
Mon Nov 29 08:14:52 2021	1638153892	43	12	54	11
Mon Nov 29 08:14:51 2021	1638153891	35	20	55	15
Mon Nov 29 08:14:51 2021	1638153891	54	1	55	0
Mon Nov 29 08:14:51 2021	1638153891	22	33	55	33
Mon Nov 29 08:14:51 2021	1638153891	53	2	55	2
Mon Nov 29 08:14:51 2021	1638153891	27	28	55	28
Mon Nov 29 08:14:51 2021	1638153891	40	15	55	15
Mon Nov 29 08:14:52 2021	1638153892	42	13	55	12
Mon Nov 29 08:14:52 2021	1638153892	37	18	55	18
Mon Nov 29 08:14:52 2021	1638153892	33	23	56	22
Mon Nov 29 08:14:52 2021	1638153892	42	14	56	14
Mon Nov 29 08:14:52 2021	1638153892	41	16	56	16
Mon Nov 29 08:14:51 2021	1638153891	29	27	57	27
Mon Nov 29 08:14:51 2021	1638153891	40	17	57	17
Mon Nov 29 08:14:52 2021	1638153892	37	19	57	19
Mon Nov 29 08:14:51 2021	1638153891	36	21	58	21
Mon Nov 29 08:14:52 2021	1638153892	39	20	58	17
Mon Nov 29 08:14:52 2021	1638153892	33	26	59	26
Mon Nov 29 08:14:51 2021	1638153891	31	28	59	27
Mon Nov 29 08:14:51 2021	1638153891	42	17	59	17
