starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 08:14:52 2021	1638153892	19	9	28	8
Mon Nov 29 08:14:53 2021	1638153893	32	1	33	1
Mon Nov 29 08:14:53 2021	1638153893	33	1	34	0
Mon Nov 29 08:14:53 2021	1638153893	33	1	34	1
Mon Nov 29 08:14:53 2021	1638153893	34	1	35	1
Mon Nov 29 08:14:53 2021	1638153893	35	1	35	0
Mon Nov 29 08:14:53 2021	1638153893	34	2	36	2
Mon Nov 29 08:14:54 2021	1638153894	36	1	37	0
Mon Nov 29 08:14:53 2021	1638153893	37	1	38	1
Mon Nov 29 08:14:52 2021	1638153892	37	1	38	1
Mon Nov 29 08:14:54 2021	1638153894	38	1	38	0
Mon Nov 29 08:14:52 2021	1638153892	38	1	38	1
Mon Nov 29 08:14:53 2021	1638153893	38	1	39	0
Mon Nov 29 08:14:53 2021	1638153893	38	1	39	0
Mon Nov 29 08:14:54 2021	1638153894	38	1	39	0
Mon Nov 29 08:14:53 2021	1638153893	38	1	39	1
Mon Nov 29 08:14:54 2021	1638153894	39	1	39	1
Mon Nov 29 08:14:54 2021	1638153894	38	1	39	1
Mon Nov 29 08:14:53 2021	1638153893	38	1	40	1
Mon Nov 29 08:14:53 2021	1638153893	38	2	40	2
Mon Nov 29 08:14:54 2021	1638153894	38	2	40	1
Mon Nov 29 08:14:52 2021	1638153892	39	1	40	1
Mon Nov 29 08:14:54 2021	1638153894	39	1	40	1
Mon Nov 29 08:14:52 2021	1638153892	39	1	40	1
Mon Nov 29 08:14:53 2021	1638153893	40	1	41	1
Mon Nov 29 08:14:53 2021	1638153893	39	1	41	1
Mon Nov 29 08:14:53 2021	1638153893	40	1	41	1
Mon Nov 29 08:14:53 2021	1638153893	40	1	41	1
Mon Nov 29 08:14:53 2021	1638153893	39	2	41	2
Mon Nov 29 08:14:54 2021	1638153894	41	1	42	0
Mon Nov 29 08:14:53 2021	1638153893	42	1	42	1
Mon Nov 29 08:14:53 2021	1638153893	42	1	42	0
Mon Nov 29 08:14:54 2021	1638153894	41	1	42	1
Mon Nov 29 08:14:53 2021	1638153893	42	1	42	1
Mon Nov 29 08:14:53 2021	1638153893	42	1	42	1
Mon Nov 29 08:14:53 2021	1638153893	42	1	43	1
Mon Nov 29 08:14:54 2021	1638153894	42	1	43	0
Mon Nov 29 08:14:53 2021	1638153893	42	1	43	1
Mon Nov 29 08:14:54 2021	1638153894	42	1	43	1
Mon Nov 29 08:14:53 2021	1638153893	42	1	43	1
Mon Nov 29 08:14:53 2021	1638153893	42	1	44	1
Mon Nov 29 08:14:53 2021	1638153893	43	1	44	1
Mon Nov 29 08:14:53 2021	1638153893	42	1	44	1
Mon Nov 29 08:14:53 2021	1638153893	42	1	44	1
Mon Nov 29 08:14:53 2021	1638153893	43	1	44	1
Mon Nov 29 08:14:53 2021	1638153893	42	2	44	2
Mon Nov 29 08:14:54 2021	1638153894	43	1	45	1
Mon Nov 29 08:14:54 2021	1638153894	43	1	45	1
Mon Nov 29 08:14:54 2021	1638153894	44	1	45	1
Mon Nov 29 08:14:53 2021	1638153893	44	1	45	1
Mon Nov 29 08:14:53 2021	1638153893	45	1	46	0
Mon Nov 29 08:14:53 2021	1638153893	45	1	46	1
Mon Nov 29 08:14:53 2021	1638153893	46	0	46	0
Mon Nov 29 08:14:53 2021	1638153893	46	1	47	0
Mon Nov 29 08:14:54 2021	1638153894	46	1	47	1
Mon Nov 29 08:14:53 2021	1638153893	47	1	47	1
Mon Nov 29 08:14:53 2021	1638153893	47	1	47	0
Mon Nov 29 08:14:53 2021	1638153893	43	5	48	4
Mon Nov 29 08:14:54 2021	1638153894	47	1	48	1
Mon Nov 29 08:14:54 2021	1638153894	45	2	48	2
Mon Nov 29 08:14:53 2021	1638153893	44	4	48	4
Mon Nov 29 08:14:54 2021	1638153894	46	2	49	2
Mon Nov 29 08:14:53 2021	1638153893	48	1	49	1
Mon Nov 29 08:14:53 2021	1638153893	48	1	49	1
Mon Nov 29 08:14:53 2021	1638153893	47	2	49	2
Mon Nov 29 08:14:53 2021	1638153893	48	1	49	1
Mon Nov 29 08:14:54 2021	1638153894	46	3	49	3
Mon Nov 29 08:14:53 2021	1638153893	49	1	49	1
Mon Nov 29 08:14:53 2021	1638153893	49	1	50	1
Mon Nov 29 08:14:54 2021	1638153894	49	1	50	1
Mon Nov 29 08:14:54 2021	1638153894	49	1	50	1
Mon Nov 29 08:14:53 2021	1638153893	50	1	50	0
Mon Nov 29 08:14:54 2021	1638153894	50	1	50	1
Mon Nov 29 08:14:53 2021	1638153893	50	1	51	1
Mon Nov 29 08:14:53 2021	1638153893	50	1	51	1
Mon Nov 29 08:14:53 2021	1638153893	48	3	51	2
Mon Nov 29 08:14:54 2021	1638153894	51	1	51	0
Mon Nov 29 08:14:53 2021	1638153893	34	17	51	17
Mon Nov 29 08:14:52 2021	1638153892	50	1	51	1
Mon Nov 29 08:14:52 2021	1638153892	51	0	51	0
Mon Nov 29 08:14:53 2021	1638153893	51	1	52	1
Mon Nov 29 08:14:54 2021	1638153894	52	1	52	1
Mon Nov 29 08:14:53 2021	1638153893	52	1	53	1
Mon Nov 29 08:14:54 2021	1638153894	52	0	53	0
Mon Nov 29 08:14:53 2021	1638153893	49	5	54	5
Mon Nov 29 08:14:53 2021	1638153893	52	2	54	2
Mon Nov 29 08:14:53 2021	1638153893	34	21	55	21
Mon Nov 29 08:14:53 2021	1638153893	33	23	56	22
Mon Nov 29 08:14:54 2021	1638153894	43	13	56	13
Mon Nov 29 08:14:53 2021	1638153893	55	1	56	1
Mon Nov 29 08:14:54 2021	1638153894	36	20	57	19
Mon Nov 29 08:14:54 2021	1638153894	40	17	57	17
Mon Nov 29 08:14:53 2021	1638153893	56	1	57	1
Mon Nov 29 08:14:53 2021	1638153893	56	1	57	1
Mon Nov 29 08:14:52 2021	1638153892	41	16	57	16
Mon Nov 29 08:14:54 2021	1638153894	41	17	58	17
Mon Nov 29 08:14:52 2021	1638153892	23	36	58	36
Mon Nov 29 08:14:52 2021	1638153892	24	35	58	35
Mon Nov 29 08:14:53 2021	1638153893	44	15	58	15
Mon Nov 29 08:14:53 2021	1638153893	36	23	59	18
Mon Nov 29 08:14:53 2021	1638153893	36	23	59	18
Mon Nov 29 08:14:52 2021	1638153892	32	27	59	27
Mon Nov 29 08:14:54 2021	1638153894	40	20	60	20
Mon Nov 29 08:14:54 2021	1638153894	30	30	60	21
Mon Nov 29 08:14:53 2021	1638153893	33	27	60	25
Mon Nov 29 08:14:54 2021	1638153894	41	19	60	19
Mon Nov 29 08:14:54 2021	1638153894	41	20	60	17
Mon Nov 29 08:14:54 2021	1638153894	44	17	61	16
Mon Nov 29 08:14:54 2021	1638153894	29	32	61	32
Mon Nov 29 08:14:53 2021	1638153893	30	31	61	31
Mon Nov 29 08:14:54 2021	1638153894	46	15	61	15
Mon Nov 29 08:14:54 2021	1638153894	42	19	61	18
Mon Nov 29 08:14:52 2021	1638153892	42	19	61	16
Mon Nov 29 08:14:53 2021	1638153893	37	24	61	22
Mon Nov 29 08:14:54 2021	1638153894	27	34	61	27
Mon Nov 29 08:14:53 2021	1638153893	33	28	61	26
Mon Nov 29 08:14:54 2021	1638153894	35	26	61	25
Mon Nov 29 08:14:54 2021	1638153894	34	28	61	26
Mon Nov 29 08:14:54 2021	1638153894	37	25	61	20
Mon Nov 29 08:14:54 2021	1638153894	34	27	62	26
Mon Nov 29 08:14:53 2021	1638153893	40	22	62	20
Mon Nov 29 08:14:53 2021	1638153893	49	12	62	12
Mon Nov 29 08:14:54 2021	1638153894	40	22	62	21
Mon Nov 29 08:14:53 2021	1638153893	39	22	62	22
Mon Nov 29 08:14:53 2021	1638153893	39	23	62	23
Mon Nov 29 08:14:53 2021	1638153893	39	23	62	22
Mon Nov 29 08:14:54 2021	1638153894	30	33	63	33
Mon Nov 29 08:14:53 2021	1638153893	34	29	63	29
Mon Nov 29 08:14:54 2021	1638153894	37	26	63	24
Mon Nov 29 08:14:52 2021	1638153892	40	23	63	19
Mon Nov 29 08:14:53 2021	1638153893	45	18	63	18
Mon Nov 29 08:14:53 2021	1638153893	35	28	63	26
Mon Nov 29 08:14:53 2021	1638153893	39	24	63	24
Mon Nov 29 08:14:53 2021	1638153893	44	19	63	19
Mon Nov 29 08:14:54 2021	1638153894	42	21	63	18
Mon Nov 29 08:14:52 2021	1638153892	33	31	63	30
Mon Nov 29 08:14:54 2021	1638153894	38	25	64	24
Mon Nov 29 08:14:54 2021	1638153894	41	23	64	22
Mon Nov 29 08:14:54 2021	1638153894	36	28	64	28
Mon Nov 29 08:14:54 2021	1638153894	40	24	64	24
Mon Nov 29 08:14:54 2021	1638153894	34	30	64	28
Mon Nov 29 08:14:53 2021	1638153893	31	33	64	33
Mon Nov 29 08:14:53 2021	1638153893	31	33	64	25
Mon Nov 29 08:14:54 2021	1638153894	46	19	64	17
Mon Nov 29 08:14:54 2021	1638153894	42	22	64	19
Mon Nov 29 08:14:53 2021	1638153893	31	33	64	32
Mon Nov 29 08:14:53 2021	1638153893	26	38	64	38
