starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 07:59:59 2021	1638152999	41	15	57	14
Mon Nov 29 07:59:59 2021	1638152999	67	46	112	45
Mon Nov 29 08:00:02 2021	1638153002	164	2	166	2
Mon Nov 29 08:00:02 2021	1638153002	165	2	167	2
Mon Nov 29 08:00:02 2021	1638153002	179	1	180	1
Mon Nov 29 08:00:01 2021	1638153001	182	1	183	1
Mon Nov 29 08:00:02 2021	1638153002	179	14	194	14
Mon Nov 29 07:59:59 2021	1638152999	73	122	195	116
Mon Nov 29 07:59:59 2021	1638152999	74	121	195	121
Mon Nov 29 07:59:59 2021	1638152999	93	102	195	101
Mon Nov 29 07:59:59 2021	1638152999	93	102	195	101
Mon Nov 29 07:59:59 2021	1638152999	93	102	195	101
Mon Nov 29 07:59:59 2021	1638152999	93	102	195	101
Mon Nov 29 08:00:01 2021	1638153001	197	1	198	1
Mon Nov 29 08:00:02 2021	1638153002	150	56	205	54
Mon Nov 29 08:00:02 2021	1638153002	150	56	205	55
Mon Nov 29 07:59:59 2021	1638152999	93	113	206	113
Mon Nov 29 07:59:59 2021	1638152999	93	113	206	111
Mon Nov 29 07:59:59 2021	1638152999	93	113	207	113
Mon Nov 29 08:00:01 2021	1638153001	189	20	210	20
Mon Nov 29 08:00:01 2021	1638153001	195	15	210	15
Mon Nov 29 08:00:00 2021	1638153000	211	1	212	1
Mon Nov 29 08:00:02 2021	1638153002	180	34	214	33
Mon Nov 29 08:00:01 2021	1638153001	212	2	214	1
Mon Nov 29 08:00:01 2021	1638153001	215	2	217	1
Mon Nov 29 08:00:01 2021	1638153001	228	1	230	1
Mon Nov 29 08:00:01 2021	1638153001	232	1	233	1
Mon Nov 29 08:00:00 2021	1638153000	235	5	240	5
Mon Nov 29 07:59:59 2021	1638152999	249	1	250	1
Mon Nov 29 08:00:01 2021	1638153001	249	1	250	1
Mon Nov 29 07:59:59 2021	1638152999	253	1	254	1
Mon Nov 29 08:00:01 2021	1638153001	245	10	255	9
Mon Nov 29 08:00:01 2021	1638153001	253	3	256	2
Mon Nov 29 08:00:01 2021	1638153001	253	3	256	2
Mon Nov 29 08:00:01 2021	1638153001	253	3	256	2
Mon Nov 29 08:00:01 2021	1638153001	257	1	258	1
Mon Nov 29 08:00:01 2021	1638153001	245	19	264	18
Mon Nov 29 08:00:01 2021	1638153001	259	7	266	5
Mon Nov 29 08:00:01 2021	1638153001	259	7	266	6
Mon Nov 29 08:00:01 2021	1638153001	220	54	274	52
Mon Nov 29 07:59:59 2021	1638152999	273	1	274	1
Mon Nov 29 08:00:01 2021	1638153001	225	51	276	48
Mon Nov 29 08:00:01 2021	1638153001	221	55	276	53
Mon Nov 29 07:59:59 2021	1638152999	274	2	276	2
Mon Nov 29 07:59:59 2021	1638152999	274	2	276	2
Mon Nov 29 07:59:59 2021	1638152999	295	1	296	1
Mon Nov 29 07:59:59 2021	1638152999	296	1	297	1
Mon Nov 29 08:00:01 2021	1638153001	206	91	297	90
Mon Nov 29 08:00:00 2021	1638153000	214	85	299	84
Mon Nov 29 07:59:59 2021	1638152999	302	1	303	1
Mon Nov 29 07:59:59 2021	1638152999	301	2	303	1
Mon Nov 29 08:00:01 2021	1638153001	203	102	305	102
Mon Nov 29 08:00:01 2021	1638153001	203	102	305	102
Mon Nov 29 08:00:01 2021	1638153001	183	122	306	120
Mon Nov 29 07:59:59 2021	1638152999	305	2	307	2
Mon Nov 29 08:00:00 2021	1638153000	225	84	310	84
Mon Nov 29 07:59:59 2021	1638152999	310	3	312	2
Mon Nov 29 07:59:59 2021	1638152999	315	1	317	1
Mon Nov 29 08:00:00 2021	1638153000	319	1	320	1
Mon Nov 29 07:59:59 2021	1638152999	318	2	320	1
Mon Nov 29 08:00:00 2021	1638153000	321	1	322	1
Mon Nov 29 08:00:00 2021	1638153000	318	5	323	4
Mon Nov 29 08:00:00 2021	1638153000	321	2	323	2
Mon Nov 29 08:00:00 2021	1638153000	322	1	323	1
Mon Nov 29 08:00:00 2021	1638153000	225	101	326	96
Mon Nov 29 07:59:59 2021	1638152999	291	36	327	36
Mon Nov 29 07:59:59 2021	1638152999	300	27	327	26
Mon Nov 29 08:00:01 2021	1638153001	326	1	327	1
Mon Nov 29 08:00:01 2021	1638153001	330	1	331	1
Mon Nov 29 08:00:01 2021	1638153001	331	1	332	1
Mon Nov 29 08:00:00 2021	1638153000	332	2	333	1
Mon Nov 29 08:00:00 2021	1638153000	306	31	336	30
Mon Nov 29 08:00:00 2021	1638153000	298	38	337	38
Mon Nov 29 08:00:00 2021	1638153000	315	22	338	22
Mon Nov 29 08:00:00 2021	1638153000	313	33	346	32
Mon Nov 29 08:00:00 2021	1638153000	314	32	346	32
