starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 29 10:21:50 2021	1638161510	10	5	15	5
Mon Nov 29 10:21:51 2021	1638161511	22	1	23	1
Mon Nov 29 10:21:50 2021	1638161510	22	1	23	1
Mon Nov 29 10:21:50 2021	1638161510	25	1	25	1
Mon Nov 29 10:21:52 2021	1638161512	25	1	26	1
Mon Nov 29 10:21:54 2021	1638161514	26	1	27	1
Mon Nov 29 10:21:51 2021	1638161511	24	3	27	3
Mon Nov 29 10:21:54 2021	1638161514	26	1	27	1
Mon Nov 29 10:21:50 2021	1638161510	28	1	29	0
Mon Nov 29 10:21:50 2021	1638161510	28	1	29	1
Mon Nov 29 10:21:50 2021	1638161510	16	14	30	14
Mon Nov 29 10:21:52 2021	1638161512	30	1	31	1
Mon Nov 29 10:21:56 2021	1638161516	31	1	31	1
Mon Nov 29 10:21:50 2021	1638161510	17	14	31	14
Mon Nov 29 10:21:56 2021	1638161516	30	1	32	1
Mon Nov 29 10:21:50 2021	1638161510	31	1	32	1
Mon Nov 29 10:21:50 2021	1638161510	26	6	32	6
Mon Nov 29 10:21:50 2021	1638161510	26	6	32	6
Mon Nov 29 10:21:56 2021	1638161516	31	1	32	1
Mon Nov 29 10:21:55 2021	1638161515	31	1	32	1
Mon Nov 29 10:21:50 2021	1638161510	32	1	33	0
Mon Nov 29 10:21:50 2021	1638161510	32	1	33	1
Mon Nov 29 10:21:50 2021	1638161510	25	8	33	8
Mon Nov 29 10:21:50 2021	1638161510	31	2	33	2
Mon Nov 29 10:21:50 2021	1638161510	32	1	33	1
Mon Nov 29 10:21:52 2021	1638161512	32	1	33	1
Mon Nov 29 10:21:54 2021	1638161514	32	1	33	1
Mon Nov 29 10:21:52 2021	1638161512	32	1	33	1
Mon Nov 29 10:21:53 2021	1638161513	31	2	33	2
Mon Nov 29 10:21:51 2021	1638161511	33	0	33	0
Mon Nov 29 10:21:50 2021	1638161510	33	1	34	0
Mon Nov 29 10:21:53 2021	1638161513	32	2	34	1
Mon Nov 29 10:21:50 2021	1638161510	33	1	34	1
Mon Nov 29 10:21:51 2021	1638161511	32	2	34	2
Mon Nov 29 10:21:50 2021	1638161510	32	2	34	2
Mon Nov 29 10:21:51 2021	1638161511	27	7	34	7
Mon Nov 29 10:21:52 2021	1638161512	33	1	34	1
Mon Nov 29 10:21:51 2021	1638161511	33	1	34	1
Mon Nov 29 10:21:50 2021	1638161510	34	1	34	1
Mon Nov 29 10:21:50 2021	1638161510	33	1	34	1
Mon Nov 29 10:21:50 2021	1638161510	22	12	35	11
Mon Nov 29 10:21:51 2021	1638161511	33	2	35	2
Mon Nov 29 10:21:55 2021	1638161515	34	1	35	1
Mon Nov 29 10:21:52 2021	1638161512	34	1	35	1
Mon Nov 29 10:21:57 2021	1638161517	34	1	35	1
Mon Nov 29 10:21:57 2021	1638161517	34	1	35	1
Mon Nov 29 10:21:52 2021	1638161512	33	2	35	1
Mon Nov 29 10:21:50 2021	1638161510	30	4	35	4
Mon Nov 29 10:21:54 2021	1638161514	34	1	35	0
Mon Nov 29 10:21:50 2021	1638161510	34	1	35	1
Mon Nov 29 10:21:57 2021	1638161517	34	1	35	1
Mon Nov 29 10:21:54 2021	1638161514	34	1	35	0
